Longitude,Latitude,Height,Gravity(mgal)
-180.0,90.0,0.0,983222.5501420615
-179.0,90.0,0.0,983222.5501420615
-178.0,90.0,0.0,983222.5501420615
-177.0,90.0,0.0,983222.5501420615
-176.0,90.0,0.0,983222.5501420615
-175.0,90.0,0.0,983222.5501420615
-174.0,90.0,0.0,983222.5501420615
-173.0,90.0,0.0,983222.5501420615
-172.0,90.0,0.0,983222.5501420615
-171.0,90.0,0.0,983222.5501420615
-170.0,90.0,0.0,983222.5501420615
-169.0,90.0,0.0,983222.5501420615
-168.0,90.0,0.0,983222.5501420615
-167.0,90.0,0.0,983222.5501420615
-166.0,90.0,0.0,983222.5501420615
-165.0,90.0,0.0,983222.5501420615
-164.0,90.0,0.0,983222.5501420615
-163.0,90.0,0.0,983222.5501420615
-162.0,90.0,0.0,983222.5501420615
-161.0,90.0,0.0,983222.5501420615
-160.0,90.0,0.0,983222.5501420615
-159.0,90.0,0.0,983222.5501420615
-158.0,90.0,0.0,983222.5501420615
-157.0,90.0,0.0,983222.5501420615
-156.0,90.0,0.0,983222.5501420615
-155.0,90.0,0.0,983222.5501420615
-154.0,90.0,0.0,983222.5501420615
-153.0,90.0,0.0,983222.5501420615
-152.0,90.0,0.0,983222.5501420615
-151.0,90.0,0.0,983222.5501420615
-150.0,90.0,0.0,983222.5501420615
-149.0,90.0,0.0,983222.5501420615
-148.0,90.0,0.0,983222.5501420615
-147.0,90.0,0.0,983222.5501420615
-146.0,90.0,0.0,983222.5501420615
-145.0,90.0,0.0,983222.5501420615
-144.0,90.0,0.0,983222.5501420615
-143.0,90.0,0.0,983222.5501420615
-142.0,90.0,0.0,983222.5501420615
-141.0,90.0,0.0,983222.5501420615
-140.0,90.0,0.0,983222.5501420615
-139.0,90.0,0.0,983222.5501420615
-138.0,90.0,0.0,983222.5501420615
-137.0,90.0,0.0,983222.5501420615
-136.0,90.0,0.0,983222.5501420615
-135.0,90.0,0.0,983222.5501420615
-134.0,90.0,0.0,983222.5501420615
-133.0,90.0,0.0,983222.5501420615
-132.0,90.0,0.0,983222.5501420615
-131.0,90.0,0.0,983222.5501420615
-130.0,90.0,0.0,983222.5501420615
-129.0,90.0,0.0,983222.5501420615
-128.0,90.0,0.0,983222.5501420615
-127.0,90.0,0.0,983222.5501420615
-126.0,90.0,0.0,983222.5501420615
-125.0,90.0,0.0,983222.5501420615
-124.0,90.0,0.0,983222.5501420615
-123.0,90.0,0.0,983222.5501420615
-122.0,90.0,0.0,983222.5501420615
-121.0,90.0,0.0,983222.5501420615
-120.0,90.0,0.0,983222.5501420615
-119.0,90.0,0.0,983222.5501420615
-118.0,90.0,0.0,983222.5501420615
-117.0,90.0,0.0,983222.5501420615
-116.0,90.0,0.0,983222.5501420615
-115.0,90.0,0.0,983222.5501420615
-114.0,90.0,0.0,983222.5501420615
-113.0,90.0,0.0,983222.5501420615
-112.0,90.0,0.0,983222.5501420615
-111.0,90.0,0.0,983222.5501420615
-110.0,90.0,0.0,983222.5501420615
-109.0,90.0,0.0,983222.5501420615
-108.0,90.0,0.0,983222.5501420615
-107.0,90.0,0.0,983222.5501420615
-106.0,90.0,0.0,983222.5501420615
-105.0,90.0,0.0,983222.5501420615
-104.0,90.0,0.0,983222.5501420615
-103.0,90.0,0.0,983222.5501420615
-102.0,90.0,0.0,983222.5501420615
-101.0,90.0,0.0,983222.5501420615
-100.0,90.0,0.0,983222.5501420615
-99.0,90.0,0.0,983222.5501420615
-98.0,90.0,0.0,983222.5501420615
-97.0,90.0,0.0,983222.5501420615
-96.0,90.0,0.0,983222.5501420615
-95.0,90.0,0.0,983222.5501420615
-94.0,90.0,0.0,983222.5501420615
-93.0,90.0,0.0,983222.5501420615
-92.0,90.0,0.0,983222.5501420615
-91.0,90.0,0.0,983222.5501420615
-90.0,90.0,0.0,983222.5501420615
-89.0,90.0,0.0,983222.5501420615
-88.0,90.0,0.0,983222.5501420615
-87.0,90.0,0.0,983222.5501420615
-86.0,90.0,0.0,983222.5501420615
-85.0,90.0,0.0,983222.5501420615
-84.0,90.0,0.0,983222.5501420615
-83.0,90.0,0.0,983222.5501420615
-82.0,90.0,0.0,983222.5501420615
-81.0,90.0,0.0,983222.5501420615
-80.0,90.0,0.0,983222.5501420615
-79.0,90.0,0.0,983222.5501420615
-78.0,90.0,0.0,983222.5501420615
-77.0,90.0,0.0,983222.5501420615
-76.0,90.0,0.0,983222.5501420615
-75.0,90.0,0.0,983222.5501420615
-74.0,90.0,0.0,983222.5501420615
-73.0,90.0,0.0,983222.5501420615
-72.0,90.0,0.0,983222.5501420615
-71.0,90.0,0.0,983222.5501420615
-70.0,90.0,0.0,983222.5501420615
-69.0,90.0,0.0,983222.5501420615
-68.0,90.0,0.0,983222.5501420615
-67.0,90.0,0.0,983222.5501420615
-66.0,90.0,0.0,983222.5501420615
-65.0,90.0,0.0,983222.5501420615
-64.0,90.0,0.0,983222.5501420615
-63.0,90.0,0.0,983222.5501420615
-62.0,90.0,0.0,983222.5501420615
-61.0,90.0,0.0,983222.5501420615
-60.0,90.0,0.0,983222.5501420615
-59.0,90.0,0.0,983222.5501420615
-58.0,90.0,0.0,983222.5501420615
-57.0,90.0,0.0,983222.5501420615
-56.0,90.0,0.0,983222.5501420615
-55.0,90.0,0.0,983222.5501420615
-54.0,90.0,0.0,983222.5501420615
-53.0,90.0,0.0,983222.5501420615
-52.0,90.0,0.0,983222.5501420615
-51.0,90.0,0.0,983222.5501420615
-50.0,90.0,0.0,983222.5501420615
-49.0,90.0,0.0,983222.5501420615
-48.0,90.0,0.0,983222.5501420615
-47.0,90.0,0.0,983222.5501420615
-46.0,90.0,0.0,983222.5501420615
-45.0,90.0,0.0,983222.5501420615
-44.0,90.0,0.0,983222.5501420615
-43.0,90.0,0.0,983222.5501420615
-42.0,90.0,0.0,983222.5501420615
-41.0,90.0,0.0,983222.5501420615
-40.0,90.0,0.0,983222.5501420615
-39.0,90.0,0.0,983222.5501420615
-38.0,90.0,0.0,983222.5501420615
-37.0,90.0,0.0,983222.5501420615
-36.0,90.0,0.0,983222.5501420615
-35.0,90.0,0.0,983222.5501420615
-34.0,90.0,0.0,983222.5501420615
-33.0,90.0,0.0,983222.5501420615
-32.0,90.0,0.0,983222.5501420615
-31.0,90.0,0.0,983222.5501420615
-30.0,90.0,0.0,983222.5501420615
-29.0,90.0,0.0,983222.5501420615
-28.0,90.0,0.0,983222.5501420615
-27.0,90.0,0.0,983222.5501420615
-26.0,90.0,0.0,983222.5501420615
-25.0,90.0,0.0,983222.5501420615
-24.0,90.0,0.0,983222.5501420615
-23.0,90.0,0.0,983222.5501420615
-22.0,90.0,0.0,983222.5501420615
-21.0,90.0,0.0,983222.5501420615
-20.0,90.0,0.0,983222.5501420615
-19.0,90.0,0.0,983222.5501420615
-18.0,90.0,0.0,983222.5501420615
-17.0,90.0,0.0,983222.5501420615
-16.0,90.0,0.0,983222.5501420615
-15.0,90.0,0.0,983222.5501420615
-14.0,90.0,0.0,983222.5501420615
-13.0,90.0,0.0,983222.5501420615
-12.0,90.0,0.0,983222.5501420615
-11.0,90.0,0.0,983222.5501420615
-10.0,90.0,0.0,983222.5501420615
-9.0,90.0,0.0,983222.5501420615
-8.0,90.0,0.0,983222.5501420615
-7.0,90.0,0.0,983222.5501420615
-6.0,90.0,0.0,983222.5501420615
-5.0,90.0,0.0,983222.5501420615
-4.0,90.0,0.0,983222.5501420615
-3.0,90.0,0.0,983222.5501420615
-2.0,90.0,0.0,983222.5501420615
