Longitude,Latitude,Height,Gravity(mgal)
90.0,-45.0,0.0,980633.038530672
91.0,-45.0,0.0,980631.2675637105
92.0,-45.0,0.0,980630.6359338865
93.0,-45.0,0.0,980631.0801580201
94.0,-45.0,0.0,980631.9470749942
95.0,-45.0,0.0,980632.4446785203
96.0,-45.0,0.0,980632.0783506024
97.0,-45.0,0.0,980630.801032939
98.0,-45.0,0.0,980628.8420832847
99.0,-45.0,0.0,980626.4142416269
100.0,-45.0,0.0,980623.5607968547
101.0,-45.0,0.0,980620.2609875678
102.0,-45.0,0.0,980616.682247309
103.0,-45.0,0.0,980613.3347283907
104.0,-45.0,0.0,980610.9500765856
105.0,-45.0,0.0,980610.1210287907
106.0,-45.0,0.0,980610.935369881
107.0,-45.0,0.0,980612.8641728355
108.0,-45.0,0.0,980614.9962995859
109.0,-45.0,0.0,980616.4725486488
110.0,-45.0,0.0,980616.8411251517
111.0,-45.0,0.0,980616.1280375882
112.0,-45.0,0.0,980614.6340600104
113.0,-45.0,0.0,980612.6657538944
114.0,-45.0,0.0,980610.4309880479
115.0,-45.0,0.0,980608.1628121831
116.0,-45.0,0.0,980606.3128133048
117.0,-45.0,0.0,980605.5601799481
118.0,-45.0,0.0,980606.5077284096
119.0,-45.0,0.0,980609.2028130858
120.0,-45.0,0.0,980612.8284313459
121.0,-45.0,0.0,980615.8790954902
122.0,-45.0,0.0,980616.8495904909
123.0,-45.0,0.0,980615.096459048
124.0,-45.0,0.0,980611.3392945793
125.0,-45.0,0.0,980607.4153271946
126.0,-45.0,0.0,980605.3315249007
127.0,-45.0,0.0,980606.1174637228
128.0,-45.0,0.0,980609.1679155264
129.0,-45.0,0.0,980612.5268456368
130.0,-45.0,0.0,980614.017565224
131.0,-45.0,0.0,980612.5890776135
132.0,-45.0,0.0,980609.0640456656
133.0,-45.0,0.0,980605.7800292226
134.0,-45.0,0.0,980605.2572532832
135.0,-45.0,0.0,980608.6313189857
136.0,-45.0,0.0,980614.785655924
137.0,-45.0,0.0,980620.7608139877
138.0,-45.0,0.0,980623.2893137733
139.0,-45.0,0.0,980620.6243342356
140.0,-45.0,0.0,980613.6096253949
141.0,-45.0,0.0,980605.3320672608
142.0,-45.0,0.0,980599.5011856003
143.0,-45.0,0.0,980598.4508963596
144.0,-45.0,0.0,980601.9064725041
145.0,-45.0,0.0,980607.2357133161
146.0,-45.0,0.0,980611.0395301005
147.0,-45.0,0.0,980611.1431491072
148.0,-45.0,0.0,980607.8087169514
149.0,-45.0,0.0,980603.4605390048
150.0,-45.0,0.0,980601.1183724332
151.0,-45.0,0.0,980602.5203273302
152.0,-45.0,0.0,980607.0954294851
153.0,-45.0,0.0,980612.4000428674
154.0,-45.0,0.0,980615.7033034352
155.0,-45.0,0.0,980615.6853073132
156.0,-45.0,0.0,980613.1605556764
157.0,-45.0,0.0,980610.3899364099
158.0,-45.0,0.0,980609.4734947212
159.0,-45.0,0.0,980610.9163686791
160.0,-45.0,0.0,980613.3370062435
161.0,-45.0,0.0,980614.5199037769
162.0,-45.0,0.0,980613.1100725614
163.0,-45.0,0.0,980609.8015577933
164.0,-45.0,0.0,980607.1827810669
165.0,-45.0,0.0,980608.2662887395
166.0,-45.0,0.0,980614.588155976
167.0,-45.0,0.0,980625.059871995
168.0,-45.0,443.0,980499.5746210042
169.0,-45.0,959.0,980348.3110922051
170.0,-45.0,634.0,980450.7909910482
171.0,-45.0,54.0,980626.1879132807
