Latitude,Longitude,MagneticField(nT)
45.0,-90.0,55485.8
45.0,-89.0,55455.7
45.0,-88.0,55420.7
45.0,-87.0,55374.2
45.0,-86.0,55314.9
45.0,-85.0,55244.0
45.0,-84.0,55168.8
45.0,-83.0,55086.7
45.0,-82.0,54996.2
45.0,-81.0,54891.9
45.0,-80.0,54779.0
45.0,-79.0,54655.6
45.0,-78.0,54527.9
45.0,-77.0,54395.8
45.0,-76.0,54258.5
45.0,-75.0,54111.8
45.0,-74.0,53954.2
45.0,-73.0,53796.4
45.0,-72.0,53621.0
45.0,-71.0,53447.6
45.0,-70.0,53272.8
45.0,-69.0,53101.3
45.0,-68.0,52916.3
45.0,-67.0,52731.7
45.0,-66.0,52541.2
45.0,-65.0,52346.5
45.0,-64.0,52152.6
45.0,-63.0,51954.5
45.0,-62.0,51760.5
45.0,-61.0,51563.1
45.0,-60.0,51365.7
45.0,-59.0,51168.8
45.0,-58.0,50972.9
45.0,-57.0,50778.2
45.0,-56.0,50585.3
45.0,-55.0,50394.5
45.0,-54.0,50206.1
45.0,-53.0,50020.5
45.0,-52.0,49838.0
45.0,-51.0,49658.8
45.0,-50.0,49483.3
45.0,-49.0,49311.7
45.0,-48.0,49144.2
45.0,-47.0,48980.9
45.0,-46.0,48822.1
45.0,-45.0,48667.8
45.0,-44.0,48518.3
45.0,-43.0,48373.5
45.0,-42.0,48233.7
45.0,-41.0,48098.8
45.0,-40.0,47968.9
45.0,-39.0,47844.0
45.0,-38.0,47724.2
45.0,-37.0,47609.4
45.0,-36.0,47499.7
45.0,-35.0,47395.1
45.0,-34.0,47295.4
45.0,-33.0,47200.8
45.0,-32.0,47111.2
45.0,-31.0,47026.5
45.0,-30.0,46946.7
45.0,-29.0,46871.9
45.0,-28.0,46801.9
45.0,-27.0,46736.7
45.0,-26.0,46676.3
45.0,-25.0,46620.6
45.0,-24.0,46569.7
45.0,-23.0,46523.5
45.0,-22.0,46482.0
45.0,-21.0,46445.2
45.0,-20.0,46412.9
45.0,-19.0,46385.3
45.0,-18.0,46362.2
45.0,-17.0,46343.6
45.0,-16.0,46329.5
45.0,-15.0,46319.8
45.0,-14.0,46314.4
45.0,-13.0,46313.4
45.0,-12.0,46316.5
45.0,-11.0,46323.8
45.0,-10.0,46335.2
45.0,-9.0,46350.5
45.0,-8.0,46369.6
45.0,-7.0,46392.5
45.0,-6.0,46419.0
45.0,-5.0,46448.9
45.0,-4.0,46482.1
45.0,-3.0,46518.5
45.0,-2.0,46557.9
45.0,-1.0,46599.6
45.0,0.0,46644.3
45.0,1.0,46688.1
45.0,2.0,46730.0
45.0,3.0,46772.4
45.0,4.0,46832.3
45.0,5.0,46901.6
45.0,6.0,46911.8
45.0,7.0,46966.0
45.0,8.0,47079.5
45.0,9.0,47145.8
45.0,10.0,47211.3
45.0,11.0,47277.7
45.0,12.0,47345.1
45.0,13.0,47413.5
45.0,14.0,47478.6
45.0,15.0,47535.8
45.0,16.0,47616.7
45.0,17.0,47687.6
45.0,18.0,47772.3
45.0,19.0,47849.4
45.0,20.0,47927.1
45.0,21.0,48005.3
45.0,22.0,48075.6
45.0,23.0,48166.2
45.0,24.0,48248.0
45.0,25.0,48333.3
45.0,26.0,48427.3
45.0,27.0,48521.4
45.0,28.0,48615.5
45.0,29.0,48710.6
45.0,30.0,48808.1
45.0,31.0,48908.1
45.0,32.0,49010.7
45.0,33.0,49115.8
45.0,34.0,49219.0
45.0,35.0,49325.3
45.0,36.0,49447.9
45.0,37.0,49564.2
45.0,38.0,49683.3
45.0,39.0,49805.1
45.0,40.0,49928.6
45.0,41.0,50053.3
45.0,42.0,50177.5
45.0,43.0,50313.3
45.0,44.0,50454.4
45.0,45.0,50598.0
45.0,46.0,50741.2
45.0,47.0,50886.1
45.0,48.0,51033.7
45.0,49.0,51183.8
45.0,50.0,51336.3
45.0,51.0,51491.3
45.0,52.0,51648.6
45.0,53.0,51808.0
45.0,54.0,51969.5
45.0,55.0,52131.6
45.0,56.0,52296.3
45.0,57.0,52461.5
45.0,58.0,52628.5
45.0,59.0,52802.0
45.0,60.0,52973.1
45.0,61.0,53144.7
45.0,62.0,53317.0
45.0,63.0,53489.3
45.0,64.0,53662.8
45.0,65.0,53836.1
45.0,66.0,54009.8
45.0,67.0,54183.4
45.0,68.0,54356.5
45.0,69.0,54526.9
45.0,70.0,54698.6
45.0,71.0,54866.6
45.0,72.0,55035.6
45.0,73.0,55198.2
45.0,74.0,55367.3
45.0,75.0,55530.2
45.0,76.0,55690.4
45.0,77.0,55848.0
45.0,78.0,56001.0
45.0,79.0,56111.8
45.0,80.0,56220.2
45.0,81.0,56418.7
45.0,82.0,56579.5
45.0,83.0,56728.9
45.0,84.0,56858.8
45.0,85.0,56983.6
45.0,86.0,57103.1
45.0,87.0,57215.1
45.0,88.0,57318.9
45.0,89.0,57421.5
45.0,90.0,57506.5
45.0,91.0,57587.5
45.0,92.0,57664.3
45.0,93.0,57730.4
45.0,94.0,57798.6
45.0,95.0,57836.6
45.0,96.0,57925.0
45.0,97.0,57959.6
45.0,98.0,57964.5
45.0,99.0,58006.5
45.0,100.0,58021.3
45.0,101.0,58050.2
45.0,102.0,58047.3
45.0,103.0,58037.1
45.0,104.0,58018.0
45.0,105.0,57981.2
45.0,106.0,57944.2
45.0,107.0,57893.9
45.0,108.0,57833.2
45.0,109.0,57762.9
45.0,110.0,57682.0
45.0,111.0,57586.6
45.0,112.0,57481.3
45.0,113.0,57364.8
45.0,114.0,57232.5
45.0,115.0,57102.8
45.0,116.0,56974.4
45.0,117.0,56816.5
45.0,118.0,56657.5
45.0,119.0,56485.7
45.0,120.0,56307.3
45.0,121.0,56135.7
45.0,122.0,55947.4
45.0,123.0,55745.2
45.0,124.0,55534.3
45.0,125.0,55316.4
45.0,126.0,55091.6
45.0,127.0,54862.6
45.0,128.0,54625.6
45.0,129.0,54364.8
45.0,130.0,54135.2
45.0,131.0,53887.2
45.0,132.0,53643.8
45.0,133.0,53389.0
45.0,134.0,53127.2
45.0,135.0,52860.0
45.0,136.0,52597.8
45.0,137.0,52350.7
45.0,138.0,52088.4
45.0,139.0,51826.1
45.0,140.0,51564.4
45.0,141.0,51303.8
45.0,142.0,51040.7
45.0,143.0,50787.3
45.0,144.0,50532.4
45.0,145.0,50280.3
45.0,146.0,50031.3
45.0,147.0,49785.9
45.0,148.0,49544.4
45.0,149.0,49307.1
45.0,150.0,49074.5
45.0,151.0,48846.7
45.0,152.0,48624.1
45.0,153.0,48406.9
45.0,154.0,48195.5
45.0,155.0,47990.0
45.0,156.0,47790.7
45.0,157.0,47597.7
45.0,158.0,47411.2
45.0,159.0,47231.5
45.0,160.0,47058.6
45.0,161.0,46892.7
45.0,162.0,46733.9
45.0,163.0,46582.4
45.0,164.0,46438.1
45.0,165.0,46301.2
45.0,166.0,46171.7
45.0,167.0,46049.7
45.0,168.0,45935.3
45.0,169.0,45828.4
45.0,170.0,45729.1
45.0,171.0,45637.4
45.0,172.0,45553.3
45.0,173.0,45476.8
45.0,174.0,45407.8
45.0,175.0,45346.5
45.0,176.0,45292.7
45.0,177.0,45246.4
45.0,178.0,45207.6
45.0,179.0,45176.3
45.0,180.0,45152.4
44.0,-180.0,44544.9
44.0,-179.0,44528.5
44.0,-178.0,44519.5
44.0,-177.0,44517.8
44.0,-176.0,44523.4
44.0,-175.0,44536.2
44.0,-174.0,44556.3
44.0,-173.0,44583.4
44.0,-172.0,44617.6
44.0,-171.0,44658.8
44.0,-170.0,44706.9
44.0,-169.0,44761.8
44.0,-168.0,44823.5
44.0,-167.0,44891.8
44.0,-166.0,44966.7
44.0,-165.0,45048.1
44.0,-164.0,45135.9
44.0,-163.0,45229.9
44.0,-162.0,45330.1
44.0,-161.0,45436.4
44.0,-160.0,45548.5
44.0,-159.0,45666.3
44.0,-158.0,45789.8
44.0,-157.0,45918.6
44.0,-156.0,46052.8
44.0,-155.0,46192.0
44.0,-154.0,46336.1
44.0,-153.0,46485.0
44.0,-152.0,46638.3
44.0,-151.0,46795.9
44.0,-150.0,46957.5
44.0,-149.0,47123.0
44.0,-148.0,47292.1
44.0,-147.0,47464.5
44.0,-146.0,47640.0
44.0,-145.0,47818.3
44.0,-144.0,47999.2
44.0,-143.0,48182.5
44.0,-142.0,48367.7
44.0,-141.0,48554.8
44.0,-140.0,48743.4
44.0,-139.0,48933.2
44.0,-138.0,49124.1
44.0,-137.0,49315.6
44.0,-136.0,49507.6
44.0,-135.0,49699.9
44.0,-134.0,49892.1
44.0,-133.0,50084.0
44.0,-132.0,50275.4
44.0,-131.0,50466.1
44.0,-130.0,50655.8
44.0,-129.0,50844.2
44.0,-128.0,51031.3
44.0,-127.0,51216.7
44.0,-126.0,51400.3
44.0,-125.0,51581.8
44.0,-124.0,51760.4
44.0,-123.0,51934.3
44.0,-122.0,52075.4
44.0,-121.0,52256.1
44.0,-120.0,52416.1
44.0,-119.0,52578.9
44.0,-118.0,52739.7
44.0,-117.0,52920.5
44.0,-116.0,53046.8
44.0,-115.0,53171.3
44.0,-114.0,53335.3
44.0,-113.0,53462.2
44.0,-112.0,53627.6
44.0,-111.0,53748.0
44.0,-110.0,53859.9
44.0,-109.0,53996.8
44.0,-108.0,54136.8
44.0,-107.0,54216.4
44.0,-106.0,54350.6
44.0,-105.0,54449.2
44.0,-104.0,54525.2
44.0,-103.0,54644.0
44.0,-102.0,54727.2
44.0,-101.0,54802.9
44.0,-100.0,54870.6
44.0,-99.0,54929.8
44.0,-98.0,54982.6
44.0,-97.0,55020.7
44.0,-96.0,55053.6
44.0,-95.0,55081.9
44.0,-94.0,55100.5
44.0,-93.0,55105.2
44.0,-92.0,55104.6
44.0,-91.0,55094.0
44.0,-90.0,55074.9
44.0,-89.0,55046.3
44.0,-88.0,55006.6
44.0,-87.0,54963.4
44.0,-86.0,54899.2
44.0,-85.0,54830.7
44.0,-84.0,54757.9
44.0,-83.0,54672.7
44.0,-82.0,54580.5
44.0,-81.0,54470.2
44.0,-80.0,54359.7
44.0,-79.0,54241.3
44.0,-78.0,54116.4
44.0,-77.0,53982.0
44.0,-76.0,53838.1
44.0,-75.0,53674.3
44.0,-74.0,53516.8
44.0,-73.0,53357.4
44.0,-72.0,53192.3
44.0,-71.0,53023.9
44.0,-70.0,52846.6
44.0,-69.0,52665.8
44.0,-68.0,52478.8
44.0,-67.0,52288.5
44.0,-66.0,52093.7
44.0,-65.0,51897.3
44.0,-64.0,51702.6
44.0,-63.0,51504.0
44.0,-62.0,51304.6
44.0,-61.0,51104.9
44.0,-60.0,50905.4
44.0,-59.0,50706.5
44.0,-58.0,50508.6
44.0,-57.0,50312.2
44.0,-56.0,50117.7
44.0,-55.0,49925.4
44.0,-54.0,49735.8
44.0,-53.0,49549.2
44.0,-52.0,49365.8
44.0,-51.0,49186.0
44.0,-50.0,49010.1
44.0,-49.0,48838.2
44.0,-48.0,48670.6
44.0,-47.0,48507.5
44.0,-46.0,48349.0
44.0,-45.0,48195.2
44.0,-44.0,48046.4
