Latitude,Longitude,MagneticField(nT)
45.0,-90.0,59455.1
45.0,-89.0,59447.2
45.0,-88.0,59433.6
45.0,-87.0,59406.8
45.0,-86.0,59365.5
45.0,-85.0,59310.7
45.0,-84.0,59250.4
45.0,-83.0,59181.3
45.0,-82.0,59102.0
45.0,-81.0,59006.2
45.0,-80.0,58899.5
45.0,-79.0,58779.4
45.0,-78.0,58652.8
45.0,-77.0,58519.1
45.0,-76.0,58377.4
45.0,-75.0,58223.0
45.0,-74.0,58053.9
45.0,-73.0,57881.6
45.0,-72.0,57687.0
45.0,-71.0,57491.5
45.0,-70.0,57290.8
45.0,-69.0,57090.3
45.0,-68.0,56871.3
45.0,-67.0,56649.0
45.0,-66.0,56416.3
45.0,-65.0,56175.1
45.0,-64.0,55930.8
45.0,-63.0,55677.9
45.0,-62.0,55425.5
45.0,-61.0,55165.4
45.0,-60.0,54901.4
45.0,-59.0,54634.2
45.0,-58.0,54364.2
45.0,-57.0,54092.0
45.0,-56.0,53818.2
45.0,-55.0,53543.5
45.0,-54.0,53268.3
45.0,-53.0,52993.2
45.0,-52.0,52718.8
45.0,-51.0,52445.7
45.0,-50.0,52174.3
45.0,-49.0,51905.1
45.0,-48.0,51638.7
45.0,-47.0,51375.6
45.0,-46.0,51116.1
45.0,-45.0,50860.6
45.0,-44.0,50609.7
45.0,-43.0,50363.5
45.0,-42.0,50122.6
45.0,-41.0,49887.0
45.0,-40.0,49657.3
45.0,-39.0,49433.4
45.0,-38.0,49215.8
45.0,-37.0,49004.5
45.0,-36.0,48799.7
45.0,-35.0,48601.5
45.0,-34.0,48410.0
45.0,-33.0,48225.3
45.0,-32.0,48047.4
45.0,-31.0,47876.4
45.0,-30.0,47712.1
45.0,-29.0,47554.7
45.0,-28.0,47404.0
45.0,-27.0,47260.1
45.0,-26.0,47122.7
45.0,-25.0,46992.0
45.0,-24.0,46867.7
45.0,-23.0,46749.8
45.0,-22.0,46638.2
45.0,-21.0,46532.8
45.0,-20.0,46433.4
45.0,-19.0,46340.1
45.0,-18.0,46252.7
45.0,-17.0,46171.0
45.0,-16.0,46095.0
45.0,-15.0,46024.7
45.0,-14.0,45959.9
45.0,-13.0,45900.5
45.0,-12.0,45846.6
45.0,-11.0,45797.9
45.0,-10.0,45754.5
45.0,-9.0,45716.3
45.0,-8.0,45683.2
45.0,-7.0,45655.3
45.0,-6.0,45632.4
45.0,-5.0,45614.5
45.0,-4.0,45601.6
45.0,-3.0,45593.6
45.0,-2.0,45590.5
45.0,-1.0,45591.7
45.0,0.0,45598.1
45.0,1.0,45606.0
45.0,2.0,45614.6
45.0,3.0,45626.3
45.0,4.0,45657.0
45.0,5.0,45699.2
45.0,6.0,45689.0
45.0,7.0,45722.7
45.0,8.0,45814.9
45.0,9.0,45865.7
45.0,10.0,45918.7
45.0,11.0,45975.3
45.0,12.0,46035.6
45.0,13.0,46099.7
45.0,14.0,46163.2
45.0,15.0,46221.7
45.0,16.0,46305.0
45.0,17.0,46381.2
45.0,18.0,46472.5
45.0,19.0,46558.6
45.0,20.0,46647.1
45.0,21.0,46737.5
45.0,22.0,46821.8
45.0,23.0,46926.8
45.0,24.0,47024.3
45.0,25.0,47126.1
45.0,26.0,47236.8
45.0,27.0,47348.0
45.0,28.0,47459.6
45.0,29.0,47572.2
45.0,30.0,47687.1
45.0,31.0,47804.1
45.0,32.0,47923.3
45.0,33.0,48044.7
45.0,34.0,48163.4
45.0,35.0,48284.6
45.0,36.0,48420.9
45.0,37.0,48550.4
45.0,38.0,48681.9
45.0,39.0,48815.1
45.0,40.0,48949.2
45.0,41.0,49083.6
45.0,42.0,49216.8
45.0,43.0,49360.6
45.0,44.0,49508.9
45.0,45.0,49659.0
45.0,46.0,49808.2
45.0,47.0,49958.6
45.0,48.0,50111.2
45.0,49.0,50266.1
45.0,50.0,50423.2
45.0,51.0,50582.5
45.0,52.0,50744.1
45.0,53.0,50908.0
45.0,54.0,51074.1
45.0,55.0,51241.2
45.0,56.0,51411.2
45.0,57.0,51582.2
45.0,58.0,51755.6
45.0,59.0,51936.0
45.0,60.0,52114.9
45.0,61.0,52295.0
45.0,62.0,52476.7
45.0,63.0,52659.4
45.0,64.0,52844.1
45.0,65.0,53029.8
45.0,66.0,53216.8
45.0,67.0,53404.6
45.0,68.0,53593.1
45.0,69.0,53779.8
45.0,70.0,53968.9
45.0,71.0,54155.2
45.0,72.0,54343.4
45.0,73.0,54526.2
45.0,74.0,54716.1
45.0,75.0,54900.7
45.0,76.0,55083.2
45.0,77.0,55263.7
45.0,78.0,55440.3
45.0,79.0,55575.0
45.0,80.0,55707.7
45.0,81.0,55930.3
45.0,82.0,56115.6
45.0,83.0,56289.4
45.0,84.0,56443.8
45.0,85.0,56592.8
45.0,86.0,56736.1
45.0,87.0,56871.5
45.0,88.0,56998.2
45.0,89.0,57123.2
45.0,90.0,57229.7
45.0,91.0,57331.5
45.0,92.0,57428.3
45.0,93.0,57513.4
45.0,94.0,57599.7
45.0,95.0,57654.6
45.0,96.0,57759.5
45.0,97.0,57809.0
45.0,98.0,57827.3
45.0,99.0,57882.3
45.0,100.0,57908.7
45.0,101.0,57948.3
45.0,102.0,57954.7
45.0,103.0,57952.8
45.0,104.0,57940.8
45.0,105.0,57909.9
45.0,106.0,57878.0
45.0,107.0,57831.6
45.0,108.0,57774.0
45.0,109.0,57705.7
45.0,110.0,57625.8
45.0,111.0,57530.6
45.0,112.0,57424.5
45.0,113.0,57306.3
45.0,114.0,57171.5
45.0,115.0,57038.5
45.0,116.0,56906.3
45.0,117.0,56743.4
45.0,118.0,56578.8
45.0,119.0,56400.6
45.0,120.0,56215.0
45.0,121.0,56035.6
45.0,122.0,55838.5
45.0,123.0,55626.6
45.0,124.0,55405.2
45.0,125.0,55175.9
45.0,126.0,54938.9
45.0,127.0,54696.7
45.0,128.0,54445.6
45.0,129.0,54169.8
45.0,130.0,53924.2
45.0,131.0,53659.3
45.0,132.0,53398.1
45.0,133.0,53124.4
45.0,134.0,52842.9
45.0,135.0,52554.9
45.0,136.0,52271.0
45.0,137.0,52001.3
45.0,138.0,51715.6
45.0,139.0,51429.1
45.0,140.0,51142.4
45.0,141.0,50856.1
45.0,142.0,50566.8
