Latitude,Longitude,MagneticField(nT)
45.0,-90.0,59448.7
45.0,-89.0,59441.1
45.0,-88.0,59427.8
45.0,-87.0,59401.4
45.0,-86.0,59360.6
45.0,-85.0,59306.3
45.0,-84.0,59246.6
45.0,-83.0,59178.1
45.0,-82.0,59099.4
45.0,-81.0,59004.3
45.0,-80.0,58898.2
45.0,-79.0,58778.8
45.0,-78.0,58652.7
45.0,-77.0,58519.6
45.0,-76.0,58378.5
45.0,-75.0,58224.5
45.0,-74.0,58055.7
45.0,-73.0,57883.8
45.0,-72.0,57689.5
45.0,-71.0,57494.0
45.0,-70.0,57293.4
45.0,-69.0,57092.8
45.0,-68.0,56873.6
45.0,-67.0,56651.1
45.0,-66.0,56418.0
45.0,-65.0,56176.4
45.0,-64.0,55931.6
45.0,-63.0,55678.0
45.0,-62.0,55424.9
45.0,-61.0,55164.0
45.0,-60.0,54899.2
45.0,-59.0,54631.0
45.0,-58.0,54360.0
45.0,-57.0,54086.8
45.0,-56.0,53812.0
45.0,-55.0,53536.1
45.0,-54.0,53259.7
45.0,-53.0,52983.5
45.0,-52.0,52708.0
45.0,-51.0,52433.7
45.0,-50.0,52161.1
45.0,-49.0,51890.8
45.0,-48.0,51623.3
45.0,-47.0,51359.0
45.0,-46.0,51098.4
45.0,-45.0,50841.9
45.0,-44.0,50589.9
45.0,-43.0,50342.8
45.0,-42.0,50100.8
45.0,-41.0,49864.4
45.0,-40.0,49633.6
45.0,-39.0,49408.9
45.0,-38.0,49190.4
45.0,-37.0,48978.3
45.0,-36.0,48772.6
45.0,-35.0,48573.6
45.0,-34.0,48381.3
45.0,-33.0,48195.8
45.0,-32.0,48017.1
45.0,-31.0,47845.3
45.0,-30.0,47680.3
45.0,-29.0,47522.0
45.0,-28.0,47370.6
45.0,-27.0,47225.8
45.0,-26.0,47087.7
45.0,-25.0,46956.1
45.0,-24.0,46831.0
45.0,-23.0,46712.3
45.0,-22.0,46599.8
45.0,-21.0,46493.6
45.0,-20.0,46393.4
45.0,-19.0,46299.3
45.0,-18.0,46211.0
45.0,-17.0,46128.6
45.0,-16.0,46051.9
45.0,-15.0,45980.8
45.0,-14.0,45915.2
45.0,-13.0,45855.1
45.0,-12.0,45800.5
45.0,-11.0,45751.2
45.0,-10.0,45707.2
45.0,-9.0,45668.4
45.0,-8.0,45634.8
45.0,-7.0,45606.3
45.0,-6.0,45582.9
45.0,-5.0,45564.6
45.0,-4.0,45551.4
45.0,-3.0,45543.0
45.0,-2.0,45539.7
45.0,-1.0,45540.6
45.0,0.0,45546.7
45.0,1.0,45554.4
45.0,2.0,45563.0
45.0,3.0,45574.5
45.0,4.0,45605.1
45.0,5.0,45647.2
45.0,6.0,45637.0
45.0,7.0,45670.7
45.0,8.0,45762.8
45.0,9.0,45813.6
45.0,10.0,45866.6
