Latitude,Longitude,MagneticField(nT)
-45.0,90.0,56988.1
-45.0,91.0,57404.2
-45.0,92.0,57809.9
-45.0,93.0,58205.1
-45.0,94.0,58589.5
-45.0,95.0,58963.0
-45.0,96.0,59325.2
-45.0,97.0,59675.9
-45.0,98.0,60015.1
-45.0,99.0,60342.6
-45.0,100.0,60658.2
-45.0,101.0,60961.8
-45.0,102.0,61253.4
-45.0,103.0,61532.9
-45.0,104.0,61800.2
-45.0,105.0,62055.4
-45.0,106.0,62298.4
-45.0,107.0,62529.2
-45.0,108.0,62748.0
-45.0,109.0,62954.7
-45.0,110.0,63149.5
-45.0,111.0,63332.4
-45.0,112.0,63503.6
-45.0,113.0,63663.2
-45.0,114.0,63811.3
-45.0,115.0,63948.1
-45.0,116.0,64073.8
-45.0,117.0,64188.6
-45.0,118.0,64292.6
-45.0,119.0,64386.1
-45.0,120.0,64469.3
-45.0,121.0,64542.4
-45.0,122.0,64605.6
-45.0,123.0,64659.2
-45.0,124.0,64703.4
-45.0,125.0,64738.4
-45.0,126.0,64764.5
-45.0,127.0,64782.0
-45.0,128.0,64791.0
-45.0,129.0,64791.8
-45.0,130.0,64784.6
-45.0,131.0,64769.7
-45.0,132.0,64747.3
-45.0,133.0,64717.7
-45.0,134.0,64681.0
-45.0,135.0,64637.6
-45.0,136.0,64587.5
-45.0,137.0,64531.1
-45.0,138.0,64468.5
-45.0,139.0,64399.9
-45.0,140.0,64325.5
-45.0,141.0,64245.5
-45.0,142.0,64160.2
-45.0,143.0,64069.5
-45.0,144.0,63973.8
-45.0,145.0,63873.2
-45.0,146.0,63767.8
-45.0,147.0,63657.8
-45.0,148.0,63543.3
-45.0,149.0,63424.5
-45.0,150.0,63301.5
-45.0,151.0,63174.3
-45.0,152.0,63043.3
-45.0,153.0,62908.3
-45.0,154.0,62769.6
-45.0,155.0,62627.3
-45.0,156.0,62481.5
-45.0,157.0,62332.2
-45.0,158.0,62179.6
-45.0,159.0,62023.7
-45.0,160.0,61864.7
-45.0,161.0,61702.7
-45.0,162.0,61537.7
-45.0,163.0,61369.9
-45.0,164.0,61199.4
-45.0,165.0,61026.1
-45.0,166.0,60850.4
-45.0,167.0,60672.2
-45.0,168.0,60478.5
-45.0,169.0,60280.6
-45.0,170.0,60105.3
-45.0,171.0,59935.5
-45.0,172.0,59748.3
-45.0,173.0,59557.7
-45.0,174.0,59365.5
-45.0,175.0,59171.9
-45.0,176.0,58976.8
-45.0,177.0,58780.5
-45.0,178.0,58583.1
-45.0,179.0,58384.7
-45.0,180.0,58185.5
-46.0,-180.0,58665.0
-46.0,-179.0,58468.5
-46.0,-178.0,58271.5
-46.0,-177.0,58074.0
-46.0,-176.0,57876.1
-46.0,-175.0,57678.1
-46.0,-174.0,57480.0
-46.0,-173.0,57281.8
-46.0,-172.0,57083.8
-46.0,-171.0,56886.0
-46.0,-170.0,56688.5
-46.0,-169.0,56491.4
-46.0,-168.0,56294.7
-46.0,-167.0,56098.5
-46.0,-166.0,55902.7
-46.0,-165.0,55707.6
-46.0,-164.0,55513.0
-46.0,-163.0,55319.0
-46.0,-162.0,55125.6
-46.0,-161.0,54932.7
-46.0,-160.0,54740.3
-46.0,-159.0,54548.5
-46.0,-158.0,54357.0
-46.0,-157.0,54165.9
-46.0,-156.0,53975.0
-46.0,-155.0,53784.3
-46.0,-154.0,53593.6
-46.0,-153.0,53402.9
-46.0,-152.0,53212.0
-46.0,-151.0,53020.8
-46.0,-150.0,52829.1
-46.0,-149.0,52636.8
-46.0,-148.0,52443.8
-46.0,-147.0,52249.8
-46.0,-146.0,52054.7
-46.0,-145.0,51858.3
-46.0,-144.0,51660.5
-46.0,-143.0,51461.1
-46.0,-142.0,51259.9
-46.0,-141.0,51056.7
-46.0,-140.0,50851.4
-46.0,-139.0,50643.9
-46.0,-138.0,50433.8
-46.0,-137.0,50221.2
-46.0,-136.0,50005.8
-46.0,-135.0,49787.5
-46.0,-134.0,49566.1
-46.0,-133.0,49341.5
-46.0,-132.0,49113.7
-46.0,-131.0,48882.4
-46.0,-130.0,48647.5
-46.0,-129.0,48409.0
-46.0,-128.0,48166.8
-46.0,-127.0,47920.8
-46.0,-126.0,47670.9
-46.0,-125.0,47417.0
-46.0,-124.0,47159.2
-46.0,-123.0,46897.3
-46.0,-122.0,46631.4
-46.0,-121.0,46361.5
-46.0,-120.0,46087.4
-46.0,-119.0,45809.3
-46.0,-118.0,45527.1
-46.0,-117.0,45241.0
-46.0,-116.0,44950.8
-46.0,-115.0,44656.7
-46.0,-114.0,44358.7
-46.0,-113.0,44057.0
-46.0,-112.0,43751.5
-46.0,-111.0,43442.5
-46.0,-110.0,43129.9
-46.0,-109.0,42813.9
-46.0,-108.0,42494.7
-46.0,-107.0,42172.4
-46.0,-106.0,41847.2
-46.0,-105.0,41519.2
-46.0,-104.0,41188.5
-46.0,-103.0,40855.5
-46.0,-102.0,40520.3
-46.0,-101.0,40183.1
-46.0,-100.0,39844.2
-46.0,-99.0,39503.8
-46.0,-98.0,39162.1
-46.0,-97.0,38819.4
-46.0,-96.0,38476.0
-46.0,-95.0,38132.3
-46.0,-94.0,37788.4
-46.0,-93.0,37444.7
-46.0,-92.0,37101.5
-46.0,-91.0,36759.2
-46.0,-90.0,36418.1
-46.0,-89.0,36078.5
-46.0,-88.0,35740.8
-46.0,-87.0,35405.4
-46.0,-86.0,35072.6
-46.0,-85.0,34742.8
-46.0,-84.0,34416.3
-46.0,-83.0,34093.6
-46.0,-82.0,33775.0
-46.0,-81.0,33460.8
-46.0,-80.0,33151.6
-46.0,-79.0,32847.5
-46.0,-78.0,32549.0
-46.0,-77.0,32256.4
-46.0,-76.0,31970.1
-46.0,-75.0,31690.1
-46.0,-74.0,31417.4
-46.0,-73.0,31142.5
-46.0,-72.0,30883.2
-46.0,-71.0,30633.6
-46.0,-70.0,30394.6
-46.0,-69.0,30163.2
-46.0,-68.0,29937.6
-46.0,-67.0,29724.8
-46.0,-66.0,29516.7
-46.0,-65.0,29317.5
-46.0,-64.0,29127.4
-46.0,-63.0,28946.4
-46.0,-62.0,28774.6
-46.0,-61.0,28612.1
-46.0,-60.0,28458.8
-46.0,-59.0,28314.6
-46.0,-58.0,28179.7
-46.0,-57.0,28053.8
-46.0,-56.0,27936.9
-46.0,-55.0,27828.9
-46.0,-54.0,27729.5
-46.0,-53.0,27638.6
-46.0,-52.0,27556.0
-46.0,-51.0,27481.5
-46.0,-50.0,27414.9
-46.0,-49.0,27355.8
-46.0,-48.0,27304.0
-46.0,-47.0,27259.3
-46.0,-46.0,27221.2
-46.0,-45.0,27189.6
-46.0,-44.0,27164.0
-46.0,-43.0,27144.2
-46.0,-42.0,27129.9
-46.0,-41.0,27120.7
-46.0,-40.0,27116.2
-46.0,-39.0,27116.2
-46.0,-38.0,27120.4
-46.0,-37.0,27128.3
-46.0,-36.0,27139.8
-46.0,-35.0,27154.5
-46.0,-34.0,27172.1
-46.0,-33.0,27192.4
-46.0,-32.0,27215.0
-46.0,-31.0,27239.7
-46.0,-30.0,27266.4
-46.0,-29.0,27294.6
-46.0,-28.0,27324.4
-46.0,-27.0,27355.3
-46.0,-26.0,27387.3
-46.0,-25.0,27420.2
-46.0,-24.0,27453.7
-46.0,-23.0,27487.9
-46.0,-22.0,27522.5
-46.0,-21.0,27557.5
-46.0,-20.0,27592.6
-46.0,-19.0,27627.9
-46.0,-18.0,27663.3
-46.0,-17.0,27698.6
-46.0,-16.0,27733.9
-46.0,-15.0,27769.0
-46.0,-14.0,27804.0
-46.0,-13.0,27838.8
-46.0,-12.0,27873.4
-46.0,-11.0,27907.9
-46.0,-10.0,27942.1
-46.0,-9.0,27976.1
-46.0,-8.0,28009.9
-46.0,-7.0,28043.7
-46.0,-6.0,28077.3
-46.0,-5.0,28110.9
-46.0,-4.0,28144.5
-46.0,-3.0,28178.2
-46.0,-2.0,28212.1
-46.0,-1.0,28246.2
-46.0,0.0,28280.8
-46.0,1.0,28315.9
-46.0,2.0,28351.7
-46.0,3.0,28388.3
-46.0,4.0,28425.9
-46.0,5.0,28464.8
-46.0,6.0,28505.0
-46.0,7.0,28547.0
-46.0,8.0,28590.9
-46.0,9.0,28637.0
-46.0,10.0,28685.7
-46.0,11.0,28737.2
-46.0,12.0,28791.9
-46.0,13.0,28850.1
-46.0,14.0,28912.3
-46.0,15.0,28978.9
-46.0,16.0,29050.2
-46.0,17.0,29126.8
-46.0,18.0,29209.0
-46.0,19.0,29297.4
-46.0,20.0,29392.4
-46.0,21.0,29494.5
-46.0,22.0,29604.3
-46.0,23.0,29722.1
-46.0,24.0,29848.5
-46.0,25.0,29984.0
-46.0,26.0,30129.0
-46.0,27.0,30284.1
