Latitude,Longitude,MagneticField(nT)
45.0,-90.0,55269.2
45.0,-89.0,55240.1
45.0,-88.0,55206.3
45.0,-87.0,55161.0
45.0,-86.0,55103.1
45.0,-85.0,55033.6
45.0,-84.0,54960.0
45.0,-83.0,54879.5
45.0,-82.0,54790.7
45.0,-81.0,54688.3
45.0,-80.0,54577.4
45.0,-79.0,54456.0
45.0,-78.0,54330.5
45.0,-77.0,54200.7
45.0,-76.0,54065.8
45.0,-75.0,53921.7
45.0,-74.0,53766.7
45.0,-73.0,53611.7
45.0,-72.0,53439.2
45.0,-71.0,53268.8
45.0,-70.0,53097.1
45.0,-69.0,52928.9
45.0,-68.0,52747.2
45.0,-67.0,52566.1
45.0,-66.0,52379.1
45.0,-65.0,52188.0
45.0,-64.0,51997.9
45.0,-63.0,51803.6
45.0,-62.0,51613.5
45.0,-61.0,51420.1
45.0,-60.0,51226.8
45.0,-59.0,51034.1
45.0,-58.0,50842.3
45.0,-57.0,50651.8
45.0,-56.0,50463.2
45.0,-55.0,50276.6
45.0,-54.0,50092.6
45.0,-53.0,49911.3
45.0,-52.0,49733.1
45.0,-51.0,49558.3
45.0,-50.0,49387.2
45.0,-49.0,49219.9
45.0,-48.0,49056.6
45.0,-47.0,48897.6
45.0,-46.0,48743.0
45.0,-45.0,48593.0
45.0,-44.0,48447.6
45.0,-43.0,48307.0
45.0,-42.0,48171.2
45.0,-41.0,48040.3
45.0,-40.0,47914.4
45.0,-39.0,47793.4
45.0,-38.0,47677.5
45.0,-37.0,47566.5
45.0,-36.0,47460.6
45.0,-35.0,47359.7
45.0,-34.0,47263.7
45.0,-33.0,47172.7
45.0,-32.0,47086.6
45.0,-31.0,47005.4
45.0,-30.0,46929.2
45.0,-29.0,46857.7
45.0,-28.0,46791.1
45.0,-27.0,46729.3
45.0,-26.0,46672.2
45.0,-25.0,46619.9
45.0,-24.0,46572.3
45.0,-23.0,46529.3
45.0,-22.0,46491.0
45.0,-21.0,46457.4
45.0,-20.0,46428.3
45.0,-19.0,46403.8
45.0,-18.0,46383.8
45.0,-17.0,46368.3
45.0,-16.0,46357.2
45.0,-15.0,46350.5
45.0,-14.0,46348.1
45.0,-13.0,46350.0
45.0,-12.0,46356.0
45.0,-11.0,46366.2
45.0,-10.0,46380.3
45.0,-9.0,46398.4
45.0,-8.0,46420.2
45.0,-7.0,46445.7
45.0,-6.0,46474.7
45.0,-5.0,46507.0
45.0,-4.0,46542.7
45.0,-3.0,46581.4
45.0,-2.0,46623.1
45.0,-1.0,46666.9
45.0,0.0,46713.7
45.0,1.0,46759.6
45.0,2.0,46803.5
45.0,3.0,46847.8
45.0,4.0,46909.6
45.0,5.0,46980.7
45.0,6.0,46992.5
45.0,7.0,47048.4
45.0,8.0,47163.7
45.0,9.0,47231.6
45.0,10.0,47298.8
45.0,11.0,47366.7
45.0,12.0,47435.7
45.0,13.0,47505.6
45.0,14.0,47572.2
45.0,15.0,47630.8
45.0,16.0,47713.2
45.0,17.0,47785.5
45.0,18.0,47871.7
45.0,19.0,47950.3
45.0,20.0,48029.5
45.0,21.0,48109.1
45.0,22.0,48180.8
45.0,23.0,48272.8
45.0,24.0,48356.0
45.0,25.0,48442.8
45.0,26.0,48538.1
45.0,27.0,48633.6
45.0,28.0,48729.1
45.0,29.0,48825.5
45.0,30.0,48924.3
45.0,31.0,49025.6
45.0,32.0,49129.3
45.0,33.0,49235.7
45.0,34.0,49340.0
45.0,35.0,49447.4
45.0,36.0,49571.1
45.0,37.0,49688.4
45.0,38.0,49808.6
45.0,39.0,49931.3
45.0,40.0,50055.8
45.0,41.0,50181.4
45.0,42.0,50306.4
45.0,43.0,50443.1
45.0,44.0,50585.0
45.0,45.0,50729.4
45.0,46.0,50873.5
45.0,47.0,51019.2
45.0,48.0,51167.5
45.0,49.0,51318.4
45.0,50.0,51471.8
45.0,51.0,51627.6
45.0,52.0,51785.7
45.0,53.0,51945.9
45.0,54.0,52108.3
45.0,55.0,52271.3
45.0,56.0,52436.9
45.0,57.0,52603.0
45.0,58.0,52770.9
45.0,59.0,52945.3
45.0,60.0,53117.4
45.0,61.0,53289.9
45.0,62.0,53463.1
45.0,63.0,53636.4
45.0,64.0,53810.8
45.0,65.0,53985.0
45.0,66.0,54159.5
45.0,67.0,54333.9
45.0,68.0,54507.8
45.0,69.0,54678.9
45.0,70.0,54851.2
45.0,71.0,55019.8
45.0,72.0,55189.1
45.0,73.0,55352.1
45.0,74.0,55521.4
45.0,75.0,55684.4
45.0,76.0,55844.5
45.0,77.0,56002.0
45.0,78.0,56154.7
45.0,79.0,56264.8
45.0,80.0,56372.5
45.0,81.0,56570.3
45.0,82.0,56730.3
45.0,83.0,56878.5
45.0,84.0,57007.2
45.0,85.0,57130.6
45.0,86.0,57248.4
45.0,87.0,57358.6
45.0,88.0,57460.4
45.0,89.0,57561.0
45.0,90.0,57643.7
45.0,91.0,57722.3
45.0,92.0,57796.7
45.0,93.0,57860.2
45.0,94.0,57925.6
45.0,95.0,57960.8
45.0,96.0,58046.4
45.0,97.0,58078.0
45.0,98.0,58079.8
45.0,99.0,58118.8
45.0,100.0,58130.6
45.0,101.0,58156.3
45.0,102.0,58150.3
45.0,103.0,58137.0
45.0,104.0,58114.8
45.0,105.0,58074.9
45.0,106.0,58035.0
45.0,107.0,57981.7
45.0,108.0,57918.2
45.0,109.0,57845.1
45.0,110.0,57761.5
45.0,111.0,57663.5
45.0,112.0,57555.7
45.0,113.0,57436.9
45.0,114.0,57302.4
45.0,115.0,57170.6
45.0,116.0,57040.3
45.0,117.0,56880.6
45.0,118.0,56720.0
45.0,119.0,56546.8
45.0,120.0,56367.1
45.0,121.0,56194.5
45.0,122.0,56005.3
45.0,123.0,55802.3
45.0,124.0,55590.9
45.0,125.0,55372.6
45.0,126.0,55147.6
45.0,127.0,54918.6
45.0,128.0,54681.7
45.0,129.0,54421.3
45.0,130.0,54192.1
45.0,131.0,53944.8
45.0,132.0,53702.1
45.0,133.0,53448.3
45.0,134.0,53187.6
45.0,135.0,52921.5
45.0,136.0,52660.6
45.0,137.0,52414.9
45.0,138.0,52154.0
45.0,139.0,51893.3
45.0,140.0,51633.2
45.0,141.0,51374.1
45.0,142.0,51112.7
45.0,143.0,50861.0
45.0,144.0,50607.8
45.0,145.0,50357.2
45.0,146.0,50109.9
45.0,147.0,49866.0
45.0,148.0,49625.9
45.0,149.0,49390.0
45.0,150.0,49158.6
45.0,151.0,48931.9
45.0,152.0,48710.3
45.0,153.0,48494.0
45.0,154.0,48283.2
45.0,155.0,48078.2
45.0,156.0,47879.1
45.0,157.0,47686.2
45.0,158.0,47499.6
45.0,159.0,47319.4
45.0,160.0,47145.9
45.0,161.0,46979.2
45.0,162.0,46819.3
45.0,163.0,46666.4
45.0,164.0,46520.5
45.0,165.0,46381.7
45.0,166.0,46250.1
45.0,167.0,46125.8
45.0,168.0,46008.7
45.0,169.0,45899.0
45.0,170.0,45796.6
45.0,171.0,45701.6
45.0,172.0,45613.9
45.0,173.0,45533.6
45.0,174.0,45460.8
45.0,175.0,45395.2
45.0,176.0,45337.1
45.0,177.0,45286.3
45.0,178.0,45242.8
45.0,179.0,45206.7
45.0,180.0,45177.8
44.0,-180.0,44568.9
44.0,-179.0,44547.5
44.0,-178.0,44533.4
44.0,-177.0,44526.5
44.0,-176.0,44526.8
44.0,-175.0,44534.3
44.0,-174.0,44549.0
44.0,-173.0,44570.6
44.0,-172.0,44599.3
44.0,-171.0,44635.0
44.0,-170.0,44677.5
44.0,-169.0,44726.9
44.0,-168.0,44783.0
44.0,-167.0,44845.8
44.0,-166.0,44915.2
44.0,-165.0,44991.1
44.0,-164.0,45073.4
44.0,-163.0,45162.1
44.0,-162.0,45256.9
44.0,-161.0,45357.8
44.0,-160.0,45464.6
44.0,-159.0,45577.2
44.0,-158.0,45695.5
44.0,-157.0,45819.3
44.0,-156.0,45948.5
44.0,-155.0,46082.8
44.0,-154.0,46222.0
44.0,-153.0,46366.1
44.0,-152.0,46514.7
44.0,-151.0,46667.8
44.0,-150.0,46824.9
44.0,-149.0,46986.0
44.0,-148.0,47150.8
44.0,-147.0,47319.0
44.0,-146.0,47490.5
44.0,-145.0,47664.8
44.0,-144.0,47841.9
44.0,-143.0,48021.4
44.0,-142.0,48203.0
44.0,-141.0,48386.6
44.0,-140.0,48571.8
44.0,-139.0,48758.4
44.0,-138.0,48946.1
44.0,-137.0,49134.6
44.0,-136.0,49323.7
44.0,-135.0,49513.2
44.0,-134.0,49702.8
44.0,-133.0,49892.1
44.0,-132.0,50081.1
44.0,-131.0,50269.5
44.0,-130.0,50456.9
44.0,-129.0,50643.3
44.0,-128.0,50828.4
44.0,-127.0,51011.9
44.0,-126.0,51193.7
44.0,-125.0,51373.6
44.0,-124.0,51550.6
44.0,-123.0,51723.0
44.0,-122.0,51862.9
44.0,-121.0,52042.3
44.0,-120.0,52201.0
44.0,-119.0,52362.7
44.0,-118.0,52522.5
44.0,-117.0,52702.1
44.0,-116.0,52827.7
44.0,-115.0,52951.5
44.0,-114.0,53114.6
44.0,-113.0,53240.9
44.0,-112.0,53405.5
44.0,-111.0,53525.4
44.0,-110.0,53636.8
44.0,-109.0,53773.2
44.0,-108.0,53912.7
44.0,-107.0,53992.1
44.0,-106.0,54126.0
44.0,-105.0,54224.4
44.0,-104.0,54300.3
44.0,-103.0,54418.9
44.0,-102.0,54502.0
44.0,-101.0,54577.8
44.0,-100.0,54645.5
44.0,-99.0,54705.0
44.0,-98.0,54758.0
44.0,-97.0,54796.3
44.0,-96.0,54829.7
44.0,-95.0,54858.4
44.0,-94.0,54877.5
44.0,-93.0,54882.8
44.0,-92.0,54882.9
44.0,-91.0,54873.1
44.0,-90.0,54854.8
44.0,-89.0,54827.1
44.0,-88.0,54788.5
44.0,-87.0,54746.3
44.0,-86.0,54683.4
44.0,-85.0,54616.2
44.0,-84.0,54544.8
44.0,-83.0,54461.1
44.0,-82.0,54370.6
44.0,-81.0,54262.1
44.0,-80.0,54153.4
44.0,-79.0,54037.0
44.0,-78.0,53914.2
44.0,-77.0,53782.0
44.0,-76.0,53640.5
44.0,-75.0,53479.2
44.0,-74.0,53324.4
44.0,-73.0,53167.7
44.0,-72.0,53005.4
44.0,-71.0,52840.1
44.0,-70.0,52665.8
44.0,-69.0,52488.3
44.0,-68.0,52304.7
44.0,-67.0,52117.8
44.0,-66.0,51926.7
44.0,-65.0,51734.1
44.0,-64.0,51543.1
44.0,-63.0,51348.4
44.0,-62.0,51153.1
44.0,-61.0,50957.5
44.0,-60.0,50762.1
44.0,-59.0,50567.4
44.0,-58.0,50373.8
44.0,-57.0,50181.7
44.0,-56.0,49991.6
44.0,-55.0,49803.7
44.0,-54.0,49618.6
44.0,-53.0,49436.4
44.0,-52.0,49257.5
44.0,-51.0,49082.1
44.0,-50.0,48910.6
44.0,-49.0,48743.2
