Latitude,Longitude,MagneticField(nT)
45.0,-90.0,59458.3
45.0,-89.0,59450.3
45.0,-88.0,59436.6
45.0,-87.0,59409.7
45.0,-86.0,59368.1
45.0,-85.0,59313.0
45.0,-84.0,59252.5
45.0,-83.0,59183.1
45.0,-82.0,59103.5
45.0,-81.0,59007.4
45.0,-80.0,58900.3
45.0,-79.0,58779.9
45.0,-78.0,58653.0
45.0,-77.0,58519.0
45.0,-76.0,58377.1
45.0,-75.0,58222.5
45.0,-74.0,58053.1
45.0,-73.0,57880.7
45.0,-72.0,57686.0
45.0,-71.0,57490.4
45.0,-70.0,57289.7
45.0,-69.0,57089.3
45.0,-68.0,56870.3
45.0,-67.0,56648.1
45.0,-66.0,56415.6
45.0,-65.0,56174.7
45.0,-64.0,55930.7
45.0,-63.0,55678.1
45.0,-62.0,55426.0
45.0,-61.0,55166.4
45.0,-60.0,54902.8
45.0,-59.0,54636.0
45.0,-58.0,54366.5
45.0,-57.0,54094.9
45.0,-56.0,53821.7
45.0,-55.0,53547.5
45.0,-54.0,53272.8
45.0,-53.0,52998.4
45.0,-52.0,52724.6
45.0,-51.0,52452.0
45.0,-50.0,52181.2
45.0,-49.0,51912.6
45.0,-48.0,51646.8
45.0,-47.0,51384.1
45.0,-46.0,51125.2
45.0,-45.0,50870.3
45.0,-44.0,50619.8
45.0,-43.0,50374.2
45.0,-42.0,50133.7
45.0,-41.0,49898.7
45.0,-40.0,49669.3
45.0,-39.0,49446.0
45.0,-38.0,49228.8
45.0,-37.0,49017.9
45.0,-36.0,48813.5
45.0,-35.0,48615.7
45.0,-34.0,48424.7
45.0,-33.0,48240.3
45.0,-32.0,48062.8
45.0,-31.0,47892.2
45.0,-30.0,47728.3
45.0,-29.0,47571.3
45.0,-28.0,47421.0
45.0,-27.0,47277.4
45.0,-26.0,47140.5
45.0,-25.0,47010.1
45.0,-24.0,46886.3
45.0,-23.0,46768.8
45.0,-22.0,46657.6
45.0,-21.0,46552.6
45.0,-20.0,46453.6
45.0,-19.0,46360.7
45.0,-18.0,46273.6
45.0,-17.0,46192.4
45.0,-16.0,46116.8
45.0,-15.0,46046.8
45.0,-14.0,45982.4
45.0,-13.0,45923.4
45.0,-12.0,45869.7
45.0,-11.0,45821.4
45.0,-10.0,45778.3
45.0,-9.0,45740.4
45.0,-8.0,45707.6
45.0,-7.0,45679.9
45.0,-6.0,45657.2
45.0,-5.0,45639.5
45.0,-4.0,45626.8
45.0,-3.0,45619.0
45.0,-2.0,45616.1
45.0,-1.0,45617.4
45.0,0.0,45623.8
45.0,1.0,45631.8
45.0,2.0,45640.6
45.0,3.0,45652.3
45.0,4.0,45683.0
45.0,5.0,45725.3
45.0,6.0,45715.0
45.0,7.0,45748.8
45.0,8.0,45841.0
45.0,9.0,45891.8
45.0,10.0,45944.8
45.0,11.0,46001.3
45.0,12.0,46061.7
45.0,13.0,46125.6
45.0,14.0,46189.1
45.0,15.0,46247.5
45.0,16.0,46330.7
45.0,17.0,46406.7
45.0,18.0,46497.9
45.0,19.0,46583.9
45.0,20.0,46672.1
45.0,21.0,46762.3
45.0,22.0,46846.4
45.0,23.0,46951.0
45.0,24.0,47048.2
45.0,25.0,47149.6
45.0,26.0,47259.9
45.0,27.0,47370.6
45.0,28.0,47481.7
45.0,29.0,47593.7
45.0,30.0,47707.9
45.0,31.0,47824.3
45.0,32.0,47942.7
45.0,33.0,48063.2
45.0,34.0,48181.1
45.0,35.0,48301.3
45.0,36.0,48436.7
45.0,37.0,48565.1
45.0,38.0,48695.5
45.0,39.0,48827.5
45.0,40.0,48960.4
45.0,41.0,49093.6
45.0,42.0,49225.4
45.0,43.0,49367.9
45.0,44.0,49514.8
45.0,45.0,49663.5
