Latitude,Longitude,MagneticField(nT)
45.0,-90.0,57036.8
45.0,-89.0,57006.0
45.0,-88.0,56969.9
45.0,-87.0,56921.4
45.0,-86.0,56859.1
45.0,-85.0,56784.3
45.0,-84.0,56704.7
45.0,-83.0,56617.3
45.0,-82.0,56520.8
45.0,-81.0,56409.4
45.0,-80.0,56288.5
45.0,-79.0,56156.1
45.0,-78.0,56018.7
45.0,-77.0,55875.9
45.0,-76.0,55727.2
45.0,-75.0,55568.0
45.0,-74.0,55396.8
45.0,-73.0,55224.6
45.0,-72.0,55033.4
45.0,-71.0,54843.4
45.0,-70.0,54651.1
45.0,-69.0,54461.4
45.0,-68.0,54256.9
45.0,-67.0,54051.9
45.0,-66.0,53839.8
45.0,-65.0,53622.6
45.0,-64.0,53405.2
45.0,-63.0,53182.7
45.0,-62.0,52963.5
45.0,-61.0,52740.0
45.0,-60.0,52515.6
45.0,-59.0,52290.9
45.0,-58.0,52066.4
45.0,-57.0,51842.6
45.0,-56.0,51619.8
45.0,-55.0,51398.5
45.0,-54.0,51179.1
45.0,-53.0,50962.1
45.0,-52.0,50747.7
45.0,-51.0,50536.3
45.0,-50.0,50328.4
45.0,-49.0,50124.0
45.0,-48.0,49923.7
45.0,-47.0,49727.5
45.0,-46.0,49535.7
45.0,-45.0,49348.6
45.0,-44.0,49166.3
45.0,-43.0,48989.0
45.0,-42.0,48816.8
45.0,-41.0,48649.8
45.0,-40.0,48488.2
45.0,-39.0,48331.9
45.0,-38.0,48181.1
45.0,-37.0,48035.8
45.0,-36.0,47896.0
45.0,-35.0,47761.8
45.0,-34.0,47633.1
45.0,-33.0,47510.0
45.0,-32.0,47392.4
45.0,-31.0,47280.3
45.0,-30.0,47173.6
45.0,-29.0,47072.4
45.0,-28.0,46976.6
45.0,-27.0,46886.1
45.0,-26.0,46801.0
45.0,-25.0,46721.2
45.0,-24.0,46646.6
45.0,-23.0,46577.3
45.0,-22.0,46513.1
45.0,-21.0,46454.1
45.0,-20.0,46400.2
45.0,-19.0,46351.4
45.0,-18.0,46307.7
45.0,-17.0,46268.9
45.0,-16.0,46235.1
45.0,-15.0,46206.2
45.0,-14.0,46182.2
45.0,-13.0,46163.0
45.0,-12.0,46148.6
45.0,-11.0,46138.9
45.0,-10.0,46133.8
45.0,-9.0,46133.3
45.0,-8.0,46137.2
45.0,-7.0,46145.4
45.0,-6.0,46157.9
45.0,-5.0,46174.6
45.0,-4.0,46195.2
45.0,-3.0,46219.7
45.0,-2.0,46247.9
45.0,-1.0,46279.1
45.0,0.0,46314.0
45.0,1.0,46348.8
45.0,2.0,46382.6
45.0,3.0,46417.5
45.0,4.0,46470.3
45.0,5.0,46533.0
45.0,6.0,46538.3
45.0,7.0,46587.4
45.0,8.0,46695.6
45.0,9.0,46757.8
45.0,10.0,46819.8
45.0,11.0,46883.0
45.0,12.0,46947.7
45.0,13.0,47013.7
45.0,14.0,47076.7
45.0,15.0,47132.1
45.0,16.0,47211.0
45.0,17.0,47280.3
45.0,18.0,47363.2
45.0,19.0,47438.7
45.0,20.0,47514.7
45.0,21.0,47591.0
45.0,22.0,47659.5
45.0,23.0,47747.9
45.0,24.0,47827.4
45.0,25.0,47910.2
45.0,26.0,48001.3
45.0,27.0,48092.2
45.0,28.0,48183.0
45.0,29.0,48274.4
45.0,30.0,48367.9
45.0,31.0,48463.6
45.0,32.0,48561.5
45.0,33.0,48661.9
45.0,34.0,48760.0
45.0,35.0,48860.9
45.0,36.0,48977.9
45.0,37.0,49088.5
45.0,38.0,49201.7
45.0,39.0,49317.5
45.0,40.0,49435.0
45.0,41.0,49553.5
45.0,42.0,49671.7
45.0,43.0,49801.4
45.0,44.0,49936.4
45.0,45.0,50074.0
45.0,46.0,50211.4
45.0,47.0,50350.7
45.0,48.0,50492.8
45.0,49.0,50637.7
45.0,50.0,50785.3
45.0,51.0,50935.6
45.0,52.0,51088.5
45.0,53.0,51244.0
45.0,54.0,51401.8
45.0,55.0,51560.6
45.0,56.0,51722.4
45.0,57.0,51885.1
45.0,58.0,52049.9
45.0,59.0,52221.6
45.0,60.0,52391.5
45.0,61.0,52562.1
45.0,62.0,52734.0
45.0,63.0,52906.3
45.0,64.0,53080.2
45.0,65.0,53254.4
45.0,66.0,53429.4
45.0,67.0,53604.8
45.0,68.0,53780.1
45.0,69.0,53953.2
45.0,70.0,54128.1
45.0,71.0,54299.8
45.0,72.0,54472.9
45.0,73.0,54640.3
45.0,74.0,54814.4
45.0,75.0,54983.0
45.0,76.0,55149.4
45.0,77.0,55313.7
45.0,78.0,55474.1
45.0,79.0,55593.0
45.0,80.0,55710.2
45.0,81.0,55917.1
45.0,82.0,56087.3
45.0,83.0,56246.6
45.0,84.0,56387.2
45.0,85.0,56523.2
45.0,86.0,56654.4
45.0,87.0,56778.7
45.0,88.0,56895.4
45.0,89.0,57011.4
45.0,90.0,57110.1
45.0,91.0,57205.5
45.0,92.0,57297.0
45.0,93.0,57378.1
45.0,94.0,57461.7
45.0,95.0,57515.4
45.0,96.0,57619.6
45.0,97.0,57670.4
45.0,98.0,57691.5
45.0,99.0,57749.8
45.0,100.0,57780.9
45.0,101.0,57826.0
45.0,102.0,57839.3
45.0,103.0,57845.1
45.0,104.0,57841.6
45.0,105.0,57820.1
45.0,106.0,57798.1
45.0,107.0,57762.3
45.0,108.0,57715.6
45.0,109.0,57658.6
45.0,110.0,57590.2
45.0,111.0,57506.8
45.0,112.0,57412.5
45.0,113.0,57306.2
45.0,114.0,57183.2
45.0,115.0,57061.8
45.0,116.0,56940.9
45.0,117.0,56789.1
45.0,118.0,56635.4
45.0,119.0,56467.6
45.0,120.0,56292.1
45.0,121.0,56122.4
45.0,122.0,55934.8
45.0,123.0,55731.9
45.0,124.0,55519.2
45.0,125.0,55298.2
45.0,126.0,55069.1
45.0,127.0,54834.6
45.0,128.0,54591.0
45.0,129.0,54322.3
45.0,130.0,54083.9
45.0,131.0,53825.9
45.0,132.0,53571.4
45.0,133.0,53304.5
45.0,134.0,53029.7
45.0,135.0,52748.4
45.0,136.0,52471.4
45.0,137.0,52208.6
45.0,138.0,51929.8
45.0,139.0,51650.4
45.0,140.0,51371.0
45.0,141.0,51092.0
45.0,142.0,50810.1
45.0,143.0,50537.6
45.0,144.0,50263.2
45.0,145.0,49991.3
45.0,146.0,49722.5
45.0,147.0,49457.2
45.0,148.0,49195.8
45.0,149.0,48938.8
45.0,150.0,48686.6
45.0,151.0,48439.6
45.0,152.0,48198.2
45.0,153.0,47962.7
45.0,154.0,47733.5
45.0,155.0,47511.0
45.0,156.0,47295.3
45.0,157.0,47086.8
45.0,158.0,46885.7
45.0,159.0,46692.4
45.0,160.0,46506.9
