Latitude,Longitude,MagneticField(nT)
45.0,-90.0,59446.0
45.0,-89.0,59437.7
45.0,-88.0,59423.6
45.0,-87.0,59396.3
45.0,-86.0,59354.3
45.0,-85.0,59298.9
45.0,-84.0,59238.0
45.0,-83.0,59168.3
45.0,-82.0,59088.3
45.0,-81.0,58991.9
45.0,-80.0,58884.5
45.0,-79.0,58763.9
45.0,-78.0,58636.8
45.0,-77.0,58502.6
45.0,-76.0,58360.6
45.0,-75.0,58205.9
45.0,-74.0,58036.5
45.0,-73.0,57864.1
45.0,-72.0,57669.5
45.0,-71.0,57473.9
45.0,-70.0,57273.4
45.0,-69.0,57073.1
45.0,-68.0,56854.5
45.0,-67.0,56632.6
45.0,-66.0,56400.5
45.0,-65.0,56160.0
45.0,-64.0,55916.5
45.0,-63.0,55664.4
45.0,-62.0,55412.9
45.0,-61.0,55153.9
45.0,-60.0,54891.1
45.0,-59.0,54625.0
45.0,-58.0,54356.2
45.0,-57.0,54085.4
45.0,-56.0,53813.0
45.0,-55.0,53539.6
45.0,-54.0,53265.9
45.0,-53.0,52992.3
45.0,-52.0,52719.4
45.0,-51.0,52447.7
45.0,-50.0,52177.8
45.0,-49.0,51910.1
45.0,-48.0,51645.2
45.0,-47.0,51383.5
45.0,-46.0,51125.5
45.0,-45.0,50871.4
45.0,-44.0,50621.9
45.0,-43.0,50377.1
45.0,-42.0,50137.4
45.0,-41.0,49903.2
45.0,-40.0,49674.7
45.0,-39.0,49452.0
45.0,-38.0,49235.6
45.0,-37.0,49025.4
45.0,-36.0,48821.7
45.0,-35.0,48624.6
45.0,-34.0,48434.2
45.0,-33.0,48250.5
45.0,-32.0,48073.7
45.0,-31.0,47903.6
45.0,-30.0,47740.3
45.0,-29.0,47583.9
45.0,-28.0,47434.2
45.0,-27.0,47291.2
45.0,-26.0,47154.8
45.0,-25.0,47025.0
45.0,-24.0,46901.7
45.0,-23.0,46784.8
45.0,-22.0,46674.2
45.0,-21.0,46569.8
45.0,-20.0,46471.5
45.0,-19.0,46379.1
45.0,-18.0,46292.7
45.0,-17.0,46212.1
45.0,-16.0,46137.2
45.0,-15.0,46067.9
45.0,-14.0,46004.1
45.0,-13.0,45945.8
45.0,-12.0,45892.9
45.0,-11.0,45845.3
45.0,-10.0,45802.9
45.0,-9.0,45765.7
45.0,-8.0,45733.6
45.0,-7.0,45706.7
45.0,-6.0,45684.7
45.0,-5.0,45667.7
45.0,-4.0,45655.7
45.0,-3.0,45648.5
45.0,-2.0,45646.2
45.0,-1.0,45648.2
45.0,0.0,45655.2
45.0,1.0,45663.7
45.0,2.0,45672.9
45.0,3.0,45685.1
45.0,4.0,45716.2
45.0,5.0,45758.9
45.0,6.0,45748.8
45.0,7.0,45782.7
45.0,8.0,45875.2
45.0,9.0,45926.1
45.0,10.0,45979.0
45.0,11.0,46035.6
45.0,12.0,46095.8
45.0,13.0,46159.5
45.0,14.0,46222.7
45.0,15.0,46280.8
45.0,16.0,46363.6
45.0,17.0,46439.1
45.0,18.0,46529.8
45.0,19.0,46615.1
45.0,20.0,46702.7
45.0,21.0,46792.1
45.0,22.0,46875.4
45.0,23.0,46979.2
45.0,24.0,47075.5
45.0,25.0,47175.9
45.0,26.0,47285.1
45.0,27.0,47394.9
45.0,28.0,47504.8
45.0,29.0,47615.7
45.0,30.0,47728.8
45.0,31.0,47844.0
45.0,32.0,47961.2
45.0,33.0,48080.5
45.0,34.0,48197.1
45.0,35.0,48316.1
45.0,36.0,48450.2
45.0,37.0,48577.3
45.0,38.0,48706.4
45.0,39.0,48837.1
45.0,40.0,48968.7
45.0,41.0,49100.5
45.0,42.0,49231.1
45.0,43.0,49372.2
45.0,44.0,49517.9
45.0,45.0,49665.3
45.0,46.0,49811.8
45.0,47.0,49959.5
45.0,48.0,50109.3
45.0,49.0,50261.4
45.0,50.0,50415.8
45.0,51.0,50572.4
45.0,52.0,50731.3
45.0,53.0,50892.5
45.0,54.0,51055.9
45.0,55.0,51220.4
45.0,56.0,51387.8
45.0,57.0,51556.3
45.0,58.0,51727.2
45.0,59.0,51905.1
45.0,60.0,52081.6
45.0,61.0,52259.4
45.0,62.0,52438.9
45.0,63.0,52619.3
45.0,64.0,52801.9
45.0,65.0,52985.5
45.0,66.0,53170.5
45.0,67.0,53356.4
45.0,68.0,53543.0
45.0,69.0,53728.0
45.0,70.0,53915.3
45.0,71.0,54100.0
45.0,72.0,54286.6
45.0,73.0,54467.9
45.0,74.0,54656.4
45.0,75.0,54839.5
45.0,76.0,55020.7
45.0,77.0,55200.0
45.0,78.0,55375.3
