Latitude,Longitude,MagneticField(nT)
45.0,-90.0,55376.3
45.0,-89.0,55346.7
45.0,-88.0,55312.4
45.0,-87.0,55266.5
45.0,-86.0,55207.8
45.0,-85.0,55137.6
45.0,-84.0,55063.3
45.0,-83.0,54981.9
45.0,-82.0,54892.3
45.0,-81.0,54788.9
45.0,-80.0,54677.0
45.0,-79.0,54554.6
45.0,-78.0,54428.0
45.0,-77.0,54297.0
45.0,-76.0,54160.9
45.0,-75.0,54015.5
45.0,-74.0,53859.2
45.0,-73.0,53702.8
45.0,-72.0,53528.8
45.0,-71.0,53357.0
45.0,-70.0,53183.6
45.0,-69.0,53013.8
45.0,-68.0,52830.4
45.0,-67.0,52647.6
45.0,-66.0,52458.8
45.0,-65.0,52266.0
45.0,-64.0,52073.9
45.0,-63.0,51877.7
45.0,-62.0,51685.7
45.0,-61.0,51490.3
45.0,-60.0,51295.0
45.0,-59.0,51100.1
45.0,-58.0,50906.3
45.0,-57.0,50713.7
45.0,-56.0,50522.9
45.0,-55.0,50334.3
45.0,-54.0,50148.0
45.0,-53.0,49964.6
45.0,-52.0,49784.3
45.0,-51.0,49607.3
45.0,-50.0,49434.0
45.0,-49.0,49264.6
45.0,-48.0,49099.2
45.0,-47.0,48938.1
45.0,-46.0,48781.4
45.0,-45.0,48629.2
45.0,-44.0,48481.8
45.0,-43.0,48339.1
45.0,-42.0,48201.3
45.0,-41.0,48068.5
45.0,-40.0,47940.6
45.0,-39.0,47817.7
45.0,-38.0,47699.8
45.0,-37.0,47587.0
45.0,-36.0,47479.2
45.0,-35.0,47376.4
45.0,-34.0,47278.6
45.0,-33.0,47185.8
45.0,-32.0,47098.0
45.0,-31.0,47015.1
45.0,-30.0,46937.1
45.0,-29.0,46863.9
45.0,-28.0,46795.6
45.0,-27.0,46732.1
45.0,-26.0,46673.4
45.0,-25.0,46619.4
45.0,-24.0,46570.2
45.0,-23.0,46525.6
45.0,-22.0,46485.7
45.0,-21.0,46450.5
45.0,-20.0,46419.8
45.0,-19.0,46393.7
45.0,-18.0,46372.2
45.0,-17.0,46355.1
45.0,-16.0,46342.5
45.0,-15.0,46334.3
45.0,-14.0,46330.4
45.0,-13.0,46330.8
