Latitude,Longitude,MagneticField(nT)
45.0,-90.0,59445.7
45.0,-89.0,59438.1
45.0,-88.0,59425.0
45.0,-87.0,59398.8
45.0,-86.0,59358.2
45.0,-85.0,59304.2
45.0,-84.0,59244.8
45.0,-83.0,59176.7
45.0,-82.0,59098.3
45.0,-81.0,59003.5
45.0,-80.0,58897.7
45.0,-79.0,58778.6
45.0,-78.0,58652.9
45.0,-77.0,58520.1
45.0,-76.0,58379.2
45.0,-75.0,58225.4
45.0,-74.0,58056.9
45.0,-73.0,57885.1
45.0,-72.0,57690.9
45.0,-71.0,57495.5
45.0,-70.0,57294.9
45.0,-69.0,57094.3
45.0,-68.0,56875.1
45.0,-67.0,56652.4
45.0,-66.0,56419.2
45.0,-65.0,56177.3
45.0,-64.0,55932.2
45.0,-63.0,55678.4
45.0,-62.0,55424.9
45.0,-61.0,55163.6
45.0,-60.0,54898.4
45.0,-59.0,54629.7
45.0,-58.0,54358.2
45.0,-57.0,54084.5
45.0,-56.0,53809.1
45.0,-55.0,53532.7
45.0,-54.0,53255.8
45.0,-53.0,52979.0
45.0,-52.0,52702.9
45.0,-51.0,52428.0
45.0,-50.0,52154.8
45.0,-49.0,51884.0
45.0,-48.0,51615.9
45.0,-47.0,51351.0
45.0,-46.0,51089.9
45.0,-45.0,50832.9
45.0,-44.0,50580.3
45.0,-43.0,50332.7
45.0,-42.0,50090.2
45.0,-41.0,49853.3
45.0,-40.0,49622.1
45.0,-39.0,49397.0
45.0,-38.0,49178.0
45.0,-37.0,48965.4
45.0,-36.0,48759.4
45.0,-35.0,48560.0
45.0,-34.0,48367.3
45.0,-33.0,48181.4
45.0,-32.0,48002.3
45.0,-31.0,47830.0
45.0,-30.0,47664.6
45.0,-29.0,47505.9
45.0,-28.0,47354.1
45.0,-27.0,47208.9
45.0,-26.0,47070.3
45.0,-25.0,46938.4
45.0,-24.0,46812.8
45.0,-23.0,46693.7
45.0,-22.0,46580.9
45.0,-21.0,46474.2
45.0,-20.0,46373.6
45.0,-19.0,46279.1
45.0,-18.0,46190.4
45.0,-17.0,46107.6
45.0,-16.0,46030.4
45.0,-15.0,45959.0
45.0,-14.0,45893.0
45.0,-13.0,45832.6
45.0,-12.0,45777.6
45.0,-11.0,45728.0
45.0,-10.0,45683.6
45.0,-9.0,45644.6
45.0,-8.0,45610.7
45.0,-7.0,45582.0
45.0,-6.0,45558.4
45.0,-5.0,45539.8
45.0,-4.0,45526.4
45.0,-3.0,45517.9
45.0,-2.0,45514.4
45.0,-1.0,45515.1
45.0,0.0,45521.1
45.0,1.0,45528.8
45.0,2.0,45537.2
45.0,3.0,45548.7
45.0,4.0,45579.2
45.0,5.0,45621.3
45.0,6.0,45611.1
45.0,7.0,45644.8
45.0,8.0,45736.8
45.0,9.0,45787.6
45.0,10.0,45840.7
45.0,11.0,45897.3
45.0,12.0,45957.8
45.0,13.0,46022.0
45.0,14.0,46085.8
45.0,15.0,46144.6
45.0,16.0,46228.2
45.0,17.0,46304.7
45.0,18.0,46396.4
45.0,19.0,46483.1
45.0,20.0,46572.1
45.0,21.0,46663.2
45.0,22.0,46748.4
45.0,23.0,46854.2
45.0,24.0,46952.8
45.0,25.0,47055.7
45.0,26.0,47167.7
45.0,27.0,47280.3
45.0,28.0,47393.5
45.0,29.0,47507.9
45.0,30.0,47624.7
45.0,31.0,47743.8
45.0,32.0,47865.3
45.0,33.0,47989.1
45.0,34.0,48110.5
45.0,35.0,48234.5
45.0,36.0,48373.8
45.0,37.0,48506.5
45.0,38.0,48641.3
45.0,39.0,48777.9
45.0,40.0,48915.7
45.0,41.0,49053.9
45.0,42.0,49190.9
45.0,43.0,49338.7
45.0,44.0,49491.2
45.0,45.0,49645.5
45.0,46.0,49799.0
45.0,47.0,49953.7
45.0,48.0,50110.7
45.0,49.0,50269.9
45.0,50.0,50431.4
45.0,51.0,50595.1
45.0,52.0,50761.1
45.0,53.0,50929.2
45.0,54.0,51099.5
45.0,55.0,51270.7
45.0,56.0,51444.8
45.0,57.0,51619.7
45.0,58.0,51796.9
45.0,59.0,51980.9
45.0,60.0,52163.4
45.0,61.0,52346.8
45.0,62.0,52531.8
45.0,63.0,52717.4
45.0,64.0,52905.0
45.0,65.0,53093.4
45.0,66.0,53282.9
45.0,67.0,53473.1
45.0,68.0,53663.7
45.0,69.0,53852.5
45.0,70.0,54043.4
45.0,71.0,54231.4
45.0,72.0,54421.1
45.0,73.0,54605.3
