Latitude,Longitude,MagneticField(nT)
45.0,-90.0,57157.2
45.0,-89.0,57126.9
45.0,-88.0,57091.2
45.0,-87.0,57042.9
45.0,-86.0,56980.8
45.0,-85.0,56906.2
45.0,-84.0,56826.6
45.0,-83.0,56739.2
45.0,-82.0,56642.5
45.0,-81.0,56531.0
45.0,-80.0,56409.8
45.0,-79.0,56277.0
45.0,-78.0,56139.1
45.0,-77.0,55995.8
45.0,-76.0,55846.5
45.0,-75.0,55686.6
45.0,-74.0,55514.5
45.0,-73.0,55341.3
45.0,-72.0,55149.1
45.0,-71.0,54958.0
45.0,-70.0,54764.5
45.0,-69.0,54573.5
45.0,-68.0,54367.5
45.0,-67.0,54161.0
45.0,-66.0,53947.3
45.0,-65.0,53728.4
45.0,-64.0,53509.2
45.0,-63.0,53284.8
45.0,-62.0,53063.6
45.0,-61.0,52838.0
45.0,-60.0,52611.5
45.0,-59.0,52384.6
45.0,-58.0,52157.8
45.0,-57.0,51931.5
45.0,-56.0,51706.3
45.0,-55.0,51482.5
45.0,-54.0,51260.6
45.0,-53.0,51040.9
45.0,-52.0,50823.8
45.0,-51.0,50609.8
45.0,-50.0,50399.1
45.0,-49.0,50192.0
45.0,-48.0,49988.8
45.0,-47.0,49789.8
45.0,-46.0,49595.3
45.0,-45.0,49405.3
45.0,-44.0,49220.2
45.0,-43.0,49040.1
45.0,-42.0,48865.0
45.0,-41.0,48695.3
45.0,-40.0,48530.9
45.0,-39.0,48371.9
45.0,-38.0,48218.4
45.0,-37.0,48070.4
45.0,-36.0,47928.0
45.0,-35.0,47791.2
45.0,-34.0,47660.0
45.0,-33.0,47534.4
45.0,-32.0,47414.3
45.0,-31.0,47299.8
45.0,-30.0,47190.8
45.0,-29.0,47087.3
45.0,-28.0,46989.3
45.0,-27.0,46896.6
45.0,-26.0,46809.4
45.0,-25.0,46727.5
45.0,-24.0,46650.9
45.0,-23.0,46579.6
45.0,-22.0,46513.5
45.0,-21.0,46452.7
45.0,-20.0,46396.9
45.0,-19.0,46346.4
45.0,-18.0,46300.9
45.0,-17.0,46260.4
45.0,-16.0,46225.0
45.0,-15.0,46194.5
45.0,-14.0,46169.0
45.0,-13.0,46148.3
45.0,-12.0,46132.5
45.0,-11.0,46121.4
45.0,-10.0,46114.9
45.0,-9.0,46113.1
45.0,-8.0,46115.8
45.0,-7.0,46122.9
45.0,-6.0,46134.3
45.0,-5.0,46149.8
45.0,-4.0,46169.5
45.0,-3.0,46193.0
45.0,-2.0,46220.3
45.0,-1.0,46250.7
45.0,0.0,46284.9
45.0,1.0,46319.0
45.0,2.0,46352.1
45.0,3.0,46386.5
45.0,4.0,46438.8
45.0,5.0,46501.1
45.0,6.0,46506.1
45.0,7.0,46554.9
45.0,8.0,46662.8
45.0,9.0,46724.8
45.0,10.0,46786.6
45.0,11.0,46849.7
45.0,12.0,46914.4
45.0,13.0,46980.4
45.0,14.0,47043.4
45.0,15.0,47098.9
45.0,16.0,47177.9
45.0,17.0,47247.3
45.0,18.0,47330.3
45.0,19.0,47406.0
45.0,20.0,47482.1
45.0,21.0,47558.6
45.0,22.0,47627.3
45.0,23.0,47715.8
45.0,24.0,47795.4
45.0,25.0,47878.3
45.0,26.0,47969.5
45.0,27.0,48060.4
45.0,28.0,48151.2
45.0,29.0,48242.6
45.0,30.0,48336.0
45.0,31.0,48431.6
45.0,32.0,48529.4
45.0,33.0,48629.5
45.0,34.0,48727.4
45.0,35.0,48828.1
45.0,36.0,48944.7
45.0,37.0,49054.9
45.0,38.0,49167.8
45.0,39.0,49283.1
45.0,40.0,49400.2
45.0,41.0,49518.3
45.0,42.0,49635.9
45.0,43.0,49765.1
45.0,44.0,49899.5
45.0,45.0,50036.5
45.0,46.0,50173.4
45.0,47.0,50312.1
45.0,48.0,50453.7
45.0,49.0,50598.0
45.0,50.0,50745.1
45.0,51.0,50894.9
45.0,52.0,51047.3
45.0,53.0,51202.2
45.0,54.0,51359.6
45.0,55.0,51518.0
45.0,56.0,51679.4
45.0,57.0,51841.7
45.0,58.0,52006.3
45.0,59.0,52177.7
45.0,60.0,52347.3
45.0,61.0,52517.9
45.0,62.0,52689.6
45.0,63.0,52861.8
45.0,64.0,53035.7
45.0,65.0,53210.0
45.0,66.0,53385.1
45.0,67.0,53560.6
45.0,68.0,53736.2
45.0,69.0,53909.6
45.0,70.0,54084.8
45.0,71.0,54256.9
45.0,72.0,54430.4
45.0,73.0,54598.3
45.0,74.0,54773.0
45.0,75.0,54942.2
45.0,76.0,55109.3
45.0,77.0,55274.3
45.0,78.0,55435.5
45.0,79.0,55555.3
45.0,80.0,55673.4
45.0,81.0,55881.3
45.0,82.0,56052.4
45.0,83.0,56212.8
45.0,84.0,56354.6
45.0,85.0,56491.8
45.0,86.0,56624.2
45.0,87.0,56749.8
45.0,88.0,56867.8
45.0,89.0,56985.2
45.0,90.0,57085.5
45.0,91.0,57182.3
45.0,92.0,57275.3
45.0,93.0,57358.1
45.0,94.0,57443.3
45.0,95.0,57498.7
45.0,96.0,57604.6
45.0,97.0,57657.0
45.0,98.0,57679.9
45.0,99.0,57739.9
45.0,100.0,57772.8
45.0,101.0,57819.7
45.0,102.0,57834.7
45.0,103.0,57842.1
45.0,104.0,57840.4
45.0,105.0,57820.6
45.0,106.0,57800.2
45.0,107.0,57766.0
45.0,108.0,57720.8
45.0,109.0,57665.3
45.0,110.0,57598.4
45.0,111.0,57516.3
45.0,112.0,57423.3
45.0,113.0,57318.2
45.0,114.0,57196.3
45.0,115.0,57075.9
45.0,116.0,56955.9
45.0,117.0,56804.9
45.0,118.0,56651.8
45.0,119.0,56484.6
45.0,120.0,56309.6
45.0,121.0,56140.3
45.0,122.0,55952.8
45.0,123.0,55750.0
45.0,124.0,55537.3
45.0,125.0,55316.1
45.0,126.0,55086.8
45.0,127.0,54851.9
45.0,128.0,54607.7
45.0,129.0,54338.4
45.0,130.0,54099.3
45.0,131.0,53840.4
45.0,132.0,53585.1
45.0,133.0,53317.1
45.0,134.0,53041.1
45.0,135.0,52758.6
45.0,136.0,52480.3
45.0,137.0,52216.1
45.0,138.0,51935.9
45.0,139.0,51655.0
45.0,140.0,51374.0
45.0,141.0,51093.4
45.0,142.0,50809.9
45.0,143.0,50535.6
45.0,144.0,50259.5
45.0,145.0,49985.8
45.0,146.0,49715.3
45.0,147.0,49448.1
45.0,148.0,49185.0
45.0,149.0,48926.2
45.0,150.0,48672.2
45.0,151.0,48423.5
45.0,152.0,48180.4
45.0,153.0,47943.2
45.0,154.0,47712.4
45.0,155.0,47488.2
45.0,156.0,47270.9
45.0,157.0,47061.0
45.0,158.0,46858.5
45.0,159.0,46663.8
45.0,160.0,46477.1
45.0,161.0,46298.5
45.0,162.0,46128.4
45.0,163.0,45966.7
45.0,164.0,45813.8
45.0,165.0,45669.6
45.0,166.0,45534.4
45.0,167.0,45408.1
45.0,168.0,45291.0
45.0,169.0,45182.9
45.0,170.0,45084.0
45.0,171.0,44994.3
45.0,172.0,44913.8
45.0,173.0,44842.4
45.0,174.0,44780.2
45.0,175.0,44727.2
45.0,176.0,44683.2
45.0,177.0,44648.3
45.0,178.0,44622.4
45.0,179.0,44605.4
45.0,180.0,44597.3
44.0,-180.0,44016.1
44.0,-179.0,44017.0
44.0,-178.0,44026.6
44.0,-177.0,44044.8
44.0,-176.0,44071.5
44.0,-175.0,44106.7
44.0,-174.0,44150.2
44.0,-173.0,44201.9
44.0,-172.0,44261.8
44.0,-171.0,44329.7
44.0,-170.0,44405.4
44.0,-169.0,44488.9
44.0,-168.0,44580.1
44.0,-167.0,44678.7
44.0,-166.0,44784.7
44.0,-165.0,44897.9
44.0,-164.0,45018.2
44.0,-163.0,45145.4
44.0,-162.0,45279.4
44.0,-161.0,45419.9
44.0,-160.0,45566.7
44.0,-159.0,45719.8
44.0,-158.0,45878.8
44.0,-157.0,46043.6
44.0,-156.0,46214.0
44.0,-155.0,46389.7
44.0,-154.0,46570.4
44.0,-153.0,46756.0
44.0,-152.0,46946.2
44.0,-151.0,47140.6
44.0,-150.0,47339.1
44.0,-149.0,47541.3
44.0,-148.0,47747.0
44.0,-147.0,47955.9
44.0,-146.0,48167.7
44.0,-145.0,48382.0
44.0,-144.0,48598.6
44.0,-143.0,48817.3
44.0,-142.0,49037.6
44.0,-141.0,49259.3
44.0,-140.0,49482.1
44.0,-139.0,49705.8
44.0,-138.0,49929.9
44.0,-137.0,50154.3
44.0,-136.0,50378.7
44.0,-135.0,50602.8
44.0,-134.0,50826.3
44.0,-133.0,51048.9
44.0,-132.0,51270.5
44.0,-131.0,51490.8
44.0,-130.0,51709.6
44.0,-129.0,51926.5
44.0,-128.0,52141.5
44.0,-127.0,52354.2
44.0,-126.0,52564.5
44.0,-125.0,52772.2
44.0,-124.0,52976.3
44.0,-123.0,53175.1
44.0,-122.0,53339.4
44.0,-121.0,53544.2
44.0,-120.0,53726.9
44.0,-119.0,53912.1
44.0,-118.0,54094.8
44.0,-117.0,54297.6
44.0,-116.0,54443.5
44.0,-115.0,54586.9
44.0,-114.0,54770.9
44.0,-113.0,54915.8
44.0,-112.0,55100.2
44.0,-111.0,55237.4
44.0,-110.0,55365.2
44.0,-109.0,55518.6
44.0,-108.0,55674.6
44.0,-107.0,55767.5
44.0,-106.0,55916.6
44.0,-105.0,56028.2
44.0,-104.0,56115.8
44.0,-103.0,56247.5
44.0,-102.0,56341.7
44.0,-101.0,56427.7
44.0,-100.0,56504.8
44.0,-99.0,56572.8
44.0,-98.0,56633.7
44.0,-97.0,56678.7
44.0,-96.0,56718.1
