Latitude,Longitude,MagneticField(nT)
-45.0,90.0,57231.4
-45.0,91.0,57650.1
-45.0,92.0,58058.3
-45.0,93.0,58455.7
-45.0,94.0,58842.1
-45.0,95.0,59217.2
-45.0,96.0,59580.9
-45.0,97.0,59932.8
-45.0,98.0,60273.0
-45.0,99.0,60601.1
-45.0,100.0,60917.1
-45.0,101.0,61220.9
-45.0,102.0,61512.5
-45.0,103.0,61791.7
-45.0,104.0,62058.5
-45.0,105.0,62313.0
-45.0,106.0,62555.2
-45.0,107.0,62785.0
-45.0,108.0,63002.5
-45.0,109.0,63207.8
-45.0,110.0,63401.0
-45.0,111.0,63582.3
-45.0,112.0,63751.6
-45.0,113.0,63909.2
-45.0,114.0,64055.3
-45.0,115.0,64189.9
-45.0,116.0,64313.3
-45.0,117.0,64425.7
-45.0,118.0,64527.3
-45.0,119.0,64618.2
-45.0,120.0,64698.7
-45.0,121.0,64769.1
-45.0,122.0,64829.5
-45.0,123.0,64880.3
-45.0,124.0,64921.5
-45.0,125.0,64953.6
-45.0,126.0,64976.8
-45.0,127.0,64991.2
-45.0,128.0,64997.2
-45.0,129.0,64994.9
-45.0,130.0,64984.7
-45.0,131.0,64966.9
-45.0,132.0,64941.5
-45.0,133.0,64909.0
-45.0,134.0,64869.4
-45.0,135.0,64823.2
-45.0,136.0,64770.4
-45.0,137.0,64711.4
-45.0,138.0,64646.3
-45.0,139.0,64575.3
-45.0,140.0,64498.7
-45.0,141.0,64416.7
-45.0,142.0,64329.5
-45.0,143.0,64237.2
-45.0,144.0,64140.0
-45.0,145.0,64038.2
-45.0,146.0,63931.8
-45.0,147.0,63821.1
-45.0,148.0,63706.1
-45.0,149.0,63587.2
-45.0,150.0,63464.3
-45.0,151.0,63337.6
-45.0,152.0,63207.3
-45.0,153.0,63073.4
-45.0,154.0,62936.1
-45.0,155.0,62795.5
-45.0,156.0,62651.7
-45.0,157.0,62504.9
-45.0,158.0,62355.0
-45.0,159.0,62202.2
-45.0,160.0,62046.6
-45.0,161.0,61888.2
-45.0,162.0,61727.2
-45.0,163.0,61563.7
-45.0,164.0,61397.6
-45.0,165.0,61229.2
-45.0,166.0,61058.5
-45.0,167.0,60885.5
-45.0,168.0,60697.3
-45.0,169.0,60504.9
-45.0,170.0,60335.5
-45.0,171.0,60171.6
-45.0,172.0,59990.4
-45.0,173.0,59806.0
-45.0,174.0,59620.0
-45.0,175.0,59432.5
-45.0,176.0,59243.7
-45.0,177.0,59053.6
-45.0,178.0,58862.3
-45.0,179.0,58670.0
-45.0,180.0,58476.8
-46.0,-180.0,58961.1
-46.0,-179.0,58770.6
-46.0,-178.0,58579.4
-46.0,-177.0,58387.6
-46.0,-176.0,58195.3
-46.0,-175.0,58002.6
-46.0,-174.0,57809.7
-46.0,-173.0,57616.6
-46.0,-172.0,57423.4
-46.0,-171.0,57230.2
-46.0,-170.0,57037.1
-46.0,-169.0,56844.2
-46.0,-168.0,56651.5
-46.0,-167.0,56459.0
-46.0,-166.0,56266.9
-46.0,-165.0,56075.2
-46.0,-164.0,55883.9
-46.0,-163.0,55693.0
-46.0,-162.0,55502.5
-46.0,-161.0,55312.4
-46.0,-160.0,55122.8
-46.0,-159.0,54933.6
-46.0,-158.0,54744.7
-46.0,-157.0,54556.1
-46.0,-156.0,54367.8
-46.0,-155.0,54179.7
-46.0,-154.0,53991.6
-46.0,-153.0,53803.6
-46.0,-152.0,53615.5
-46.0,-151.0,53427.2
-46.0,-150.0,53238.6
-46.0,-149.0,53049.5
-46.0,-148.0,52859.9
-46.0,-147.0,52669.5
-46.0,-146.0,52478.3
-46.0,-145.0,52286.1
-46.0,-144.0,52092.7
-46.0,-143.0,51898.0
-46.0,-142.0,51701.9
-46.0,-141.0,51504.0
-46.0,-140.0,51304.4
-46.0,-139.0,51102.8
-46.0,-138.0,50899.1
