Latitude,Longitude,MagneticField(nT)
45.0,-90.0,59451.9
45.0,-89.0,59444.1
45.0,-88.0,59430.6
45.0,-87.0,59404.1
45.0,-86.0,59363.0
45.0,-85.0,59308.5
45.0,-84.0,59248.5
45.0,-83.0,59179.7
45.0,-82.0,59100.7
45.0,-81.0,59005.2
45.0,-80.0,58898.8
45.0,-79.0,58779.0
45.0,-78.0,58652.7
45.0,-77.0,58519.3
45.0,-76.0,58377.9
45.0,-75.0,58223.7
45.0,-74.0,58054.7
45.0,-73.0,57882.6
45.0,-72.0,57688.2
45.0,-71.0,57492.7
45.0,-70.0,57292.0
45.0,-69.0,57091.5
45.0,-68.0,56872.4
45.0,-67.0,56649.9
45.0,-66.0,56417.1
45.0,-65.0,56175.7
45.0,-64.0,55931.1
45.0,-63.0,55677.9
45.0,-62.0,55425.1
45.0,-61.0,55164.6
45.0,-60.0,54900.2
45.0,-59.0,54632.5
45.0,-58.0,54362.0
45.0,-57.0,54089.3
45.0,-56.0,53815.0
45.0,-55.0,53539.7
45.0,-54.0,53263.9
45.0,-53.0,52988.3
45.0,-52.0,52713.3
45.0,-51.0,52439.6
45.0,-50.0,52167.6
45.0,-49.0,51897.9
45.0,-48.0,51630.9
45.0,-47.0,51367.2
45.0,-46.0,51107.2
45.0,-45.0,50851.2
45.0,-44.0,50599.7
45.0,-43.0,50353.1
45.0,-42.0,50111.6
45.0,-41.0,49875.6
45.0,-40.0,49645.4
45.0,-39.0,49421.1
45.0,-38.0,49203.0
45.0,-37.0,48991.3
45.0,-36.0,48786.1
45.0,-35.0,48587.5
45.0,-34.0,48395.6
45.0,-33.0,48210.5
45.0,-32.0,48032.3
45.0,-31.0,47860.8
45.0,-30.0,47696.2
45.0,-29.0,47538.3
45.0,-28.0,47387.3
45.0,-27.0,47242.9
45.0,-26.0,47105.2
45.0,-25.0,46974.0
45.0,-24.0,46849.3
45.0,-23.0,46731.0
45.0,-22.0,46619.0
45.0,-21.0,46513.2
45.0,-20.0,46413.5
45.0,-19.0,46319.7
45.0,-18.0,46231.9
45.0,-17.0,46149.8
45.0,-16.0,46073.5
45.0,-15.0,46002.7
45.0,-14.0,45937.6
45.0,-13.0,45877.9
45.0,-12.0,45823.5
45.0,-11.0,45774.6
45.0,-10.0,45730.9
45.0,-9.0,45692.4
45.0,-8.0,45659.0
45.0,-7.0,45630.8
45.0,-6.0,45607.7
45.0,-5.0,45589.6
45.0,-4.0,45576.5
45.0,-3.0,45568.4
45.0,-2.0,45565.2
45.0,-1.0,45566.2
45.0,0.0,45572.4
45.0,1.0,45580.2
45.0,2.0,45588.8
45.0,3.0,45600.5
45.0,4.0,45631.1
45.0,5.0,45673.3
45.0,6.0,45663.1
45.0,7.0,45696.8
45.0,8.0,45788.9
45.0,9.0,45839.7
45.0,10.0,45892.7
45.0,11.0,45949.3
45.0,12.0,46009.7
45.0,13.0,46073.8
45.0,14.0,46137.4
45.0,15.0,46196.1
45.0,16.0,46279.4
45.0,17.0,46355.7
45.0,18.0,46447.2
45.0,19.0,46533.5
45.0,20.0,46622.1
45.0,21.0,46712.8
45.0,22.0,46797.4
45.0,23.0,46902.6
45.0,24.0,47000.5
45.0,25.0,47102.7
45.0,26.0,47213.8
45.0,27.0,47325.5
45.0,28.0,47437.6
45.0,29.0,47550.8
45.0,30.0,47666.3
45.0,31.0,47784.1
45.0,32.0,47904.0
45.0,33.0,48026.2
45.0,34.0,48145.8
45.0,35.0,48267.9
45.0,36.0,48405.3
45.0,37.0,48535.8
45.0,38.0,48668.4
45.0,39.0,48802.7
45.0,40.0,48938.0
45.0,41.0,49073.7
45.0,42.0,49208.2
45.0,43.0,49353.3
45.0,44.0,49503.0
45.0,45.0,49654.5
45.0,46.0,49805.2
45.0,47.0,49957.0
45.0,48.0,50111.0
45.0,49.0,50267.3
45.0,50.0,50425.9
45.0,51.0,50586.7
45.0,52.0,50749.7
45.0,53.0,50915.0
45.0,54.0,51082.6
45.0,55.0,51251.0
45.0,56.0,51422.4
45.0,57.0,51594.7
45.0,58.0,51769.3
45.0,59.0,51951.0
45.0,60.0,52131.0
45.0,61.0,52312.2
45.0,62.0,52495.0
45.0,63.0,52678.7
45.0,64.0,52864.4
45.0,65.0,53050.9
45.0,66.0,53238.8
45.0,67.0,53427.4
45.0,68.0,53616.6
45.0,69.0,53804.0
45.0,70.0,53993.7
45.0,71.0,54180.6
45.0,72.0,54369.2
45.0,73.0,54552.5
45.0,74.0,54742.9
45.0,75.0,54927.8
45.0,76.0,55110.7
45.0,77.0,55291.6
45.0,78.0,55468.4
45.0,79.0,55603.4
45.0,80.0,55736.3
45.0,81.0,55959.2
45.0,82.0,56144.8
45.0,83.0,56318.8
45.0,84.0,56473.4
45.0,85.0,56622.6
45.0,86.0,56766.2
45.0,87.0,56901.8
45.0,88.0,57028.8
45.0,89.0,57154.0
45.0,90.0,57260.7
45.0,91.0,57362.8
45.0,92.0,57459.9
45.0,93.0,57545.3
45.0,94.0,57631.9
45.0,95.0,57687.1
45.0,96.0,57792.3
45.0,97.0,57842.1
45.0,98.0,57860.8
45.0,99.0,57916.0
45.0,100.0,57942.8
45.0,101.0,57982.8
45.0,102.0,57989.5
45.0,103.0,57987.9
45.0,104.0,57976.2
45.0,105.0,57945.6
45.0,106.0,57913.9
45.0,107.0,57867.8
45.0,108.0,57810.4
45.0,109.0,57742.3
45.0,110.0,57662.6
45.0,111.0,57567.5
45.0,112.0,57461.5
45.0,113.0,57343.4
45.0,114.0,57208.6
45.0,115.0,57075.6
45.0,116.0,56943.3
45.0,117.0,56780.3
45.0,118.0,56615.6
45.0,119.0,56437.1
45.0,120.0,56251.3
45.0,121.0,56071.7
45.0,122.0,55874.3
45.0,123.0,55662.1
45.0,124.0,55440.4
45.0,125.0,55210.7
