Latitude,Longitude,MagneticField(nT)
45.0,-90.0,55857.8
45.0,-89.0,55826.3
45.0,-88.0,55789.9
45.0,-87.0,55741.8
45.0,-86.0,55680.7
45.0,-85.0,55607.7
45.0,-84.0,55530.5
45.0,-83.0,55446.1
45.0,-82.0,55353.2
45.0,-81.0,55246.3
45.0,-80.0,55130.7
45.0,-79.0,55004.3
45.0,-78.0,54873.5
45.0,-77.0,54738.1
45.0,-76.0,54597.4
45.0,-75.0,54447.1
45.0,-74.0,54285.7
45.0,-73.0,54123.9
45.0,-72.0,53944.3
45.0,-71.0,53766.6
45.0,-70.0,53587.2
45.0,-69.0,53411.1
45.0,-68.0,53221.2
45.0,-67.0,53031.6
45.0,-66.0,52835.8
45.0,-65.0,52635.7
45.0,-64.0,52436.2
45.0,-63.0,52232.3
45.0,-62.0,52032.4
45.0,-61.0,51829.0
45.0,-60.0,51625.4
45.0,-59.0,51422.1
45.0,-58.0,51219.6
45.0,-57.0,51018.4
45.0,-56.0,50818.7
45.0,-55.0,50621.1
45.0,-54.0,50425.8
45.0,-53.0,50233.2
45.0,-52.0,50043.6
45.0,-51.0,49857.4
45.0,-50.0,49674.8
45.0,-49.0,49496.0
45.0,-48.0,49321.3
45.0,-47.0,49150.8
45.0,-46.0,48984.9
45.0,-45.0,48823.5
45.0,-44.0,48666.9
45.0,-43.0,48515.1
45.0,-42.0,48368.3
45.0,-41.0,48226.5
45.0,-40.0,48089.8
45.0,-39.0,47958.2
45.0,-38.0,47831.8
45.0,-37.0,47710.5
45.0,-36.0,47594.3
45.0,-35.0,47483.3
45.0,-34.0,47377.5
45.0,-33.0,47276.8
45.0,-32.0,47181.1
45.0,-31.0,47090.5
45.0,-30.0,47005.0
45.0,-29.0,46924.4
45.0,-28.0,46848.8
45.0,-27.0,46778.2
45.0,-26.0,46712.4
45.0,-25.0,46651.5
45.0,-24.0,46595.4
45.0,-23.0,46544.1
45.0,-22.0,46497.6
45.0,-21.0,46455.8
45.0,-20.0,46418.7
45.0,-19.0,46386.3
45.0,-18.0,46358.6
45.0,-17.0,46335.4
45.0,-16.0,46316.8
45.0,-15.0,46302.7
45.0,-14.0,46293.1
45.0,-13.0,46287.9
45.0,-12.0,46286.9
45.0,-11.0,46290.3
45.0,-10.0,46297.8
45.0,-9.0,46309.4
45.0,-8.0,46324.9
45.0,-7.0,46344.3
45.0,-6.0,46367.4
45.0,-5.0,46394.1
45.0,-4.0,46424.2
45.0,-3.0,46457.7
45.0,-2.0,46494.3
45.0,-1.0,46533.2
45.0,0.0,46575.4
45.0,1.0,46616.8
45.0,2.0,46656.5
45.0,3.0,46696.8
45.0,4.0,46754.6
45.0,5.0,46822.0
45.0,6.0,46830.6
45.0,7.0,46883.1
45.0,8.0,46994.9
45.0,9.0,47059.6
45.0,10.0,47123.7
45.0,11.0,47188.7
45.0,12.0,47254.9
45.0,13.0,47322.0
45.0,14.0,47385.9
45.0,15.0,47441.9
45.0,16.0,47521.6
45.0,17.0,47591.3
45.0,18.0,47674.8
45.0,19.0,47750.8
45.0,20.0,47827.2
45.0,21.0,47904.2
45.0,22.0,47973.2
45.0,23.0,48062.5
45.0,24.0,48143.0
45.0,25.0,48227.0
45.0,26.0,48319.6
45.0,27.0,48412.2
45.0,28.0,48504.9
45.0,29.0,48598.5
45.0,30.0,48694.5
45.0,31.0,48793.0
45.0,32.0,48894.0
45.0,33.0,48997.6
45.0,34.0,49099.3
45.0,35.0,49204.0
45.0,36.0,49325.1
45.0,37.0,49439.9
45.0,38.0,49557.6
45.0,39.0,49677.9
45.0,40.0,49800.0
45.0,41.0,49923.4
45.0,42.0,50046.3
45.0,43.0,50180.8
45.0,44.0,50320.7
45.0,45.0,50463.1
45.0,46.0,50605.3
45.0,47.0,50749.1
45.0,48.0,50895.7
45.0,49.0,51044.9
45.0,50.0,51196.7
45.0,51.0,51350.9
45.0,52.0,51507.4
45.0,53.0,51666.2
45.0,54.0,51827.1
45.0,55.0,51988.7
45.0,56.0,52152.9
45.0,57.0,52317.7
45.0,58.0,52484.4
45.0,59.0,52657.5
45.0,60.0,52828.4
45.0,61.0,52999.8
45.0,62.0,53172.0
45.0,63.0,53344.2
45.0,64.0,53517.7
45.0,65.0,53691.1
45.0,66.0,53864.9
45.0,67.0,54038.6
45.0,68.0,54212.0
45.0,69.0,54382.7
45.0,70.0,54554.8
45.0,71.0,54723.3
45.0,72.0,54892.8
45.0,73.0,55056.2
45.0,74.0,55225.9
45.0,75.0,55389.6
45.0,76.0,55550.8
45.0,77.0,55709.4
45.0,78.0,55863.7
45.0,79.0,55975.8
45.0,80.0,56085.7
45.0,81.0,56285.5
45.0,82.0,56447.9
45.0,83.0,56598.9
45.0,84.0,56730.8
45.0,85.0,56857.5
45.0,86.0,56979.0
45.0,87.0,57093.2
45.0,88.0,57199.2
45.0,89.0,57304.3
45.0,90.0,57391.7
45.0,91.0,57475.3
45.0,92.0,57554.7
45.0,93.0,57623.5
45.0,94.0,57694.5
45.0,95.0,57735.3
45.0,96.0,57826.5
45.0,97.0,57864.0
45.0,98.0,57871.8
45.0,99.0,57916.7
45.0,100.0,57934.4
45.0,101.0,57966.1
45.0,102.0,57966.1
45.0,103.0,57958.7
45.0,104.0,57942.4
45.0,105.0,57908.2
45.0,106.0,57873.9
45.0,107.0,57826.1
45.0,108.0,57767.9
45.0,109.0,57699.9
45.0,110.0,57621.1
45.0,111.0,57527.9
45.0,112.0,57424.5
45.0,113.0,57309.8
45.0,114.0,57179.1
45.0,115.0,57050.7
45.0,116.0,56923.6
45.0,117.0,56766.7
45.0,118.0,56608.6
45.0,119.0,56437.5
